"specimen_id","feather_type","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"16887","Breast","museum_meta_052",1,"53","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","16887 - breast","Breast","Tasmania, Australia","Mona Vale (42 05 S, 147 29 E)","Mona Vale (42 05 S, 147 29 E), Tasmania, Australia","16/07/1887",7,1887,"Female",,"Australia",1,,"museum_coord_10",147.4872048,-42.0801398,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","16/07/1887",7,1887,"Mona Vale (42 05 S, 147 29 E)",TRUE,TRUE,TRUE
"17371","Breast","museum_meta_060",1,"61","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","17371 - breast","Breast","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Female",,"Australia",1,,"museum_coord_11",145.5167602,-38.3376816,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","38541",7,2005,"Western Port, Stockyard Point (38 25 S, 145 23 E)",TRUE,TRUE,TRUE
"2291","Breast","museum_meta_054",1,"55","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","2291 - breast","Breast","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Male",,"Australia",1,,"museum_coord_12",144.8309509,-37.8645245,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","17570",2,1948,"Altona (37 52 S, 144 49 E)",TRUE,TRUE,TRUE
"2423-136221","Breast","museum_meta_174",1,"175","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2423-136221 Breast",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28935",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_13",146.7425129,-41.0875836,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28935",3,1979,"Greens Beach",TRUE,TRUE,TRUE
"2423-136221","Primary","museum_meta_197",1,"198","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2423-136221 Primary",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28935",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"244-111733","Breast","museum_meta_158",1,"159","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 244-111733 Breast",,"Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_14",173.2443635,-41.2985321,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","27208",6,1974,"Bainham",TRUE,TRUE,TRUE
"244-111733","Primary","museum_meta_181",1,"182","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 244-111733 Primary",,"Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"F",,"New Zealand",0,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"2448-136246","Breast","museum_meta_175",1,"176","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2448-136246 Breast",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_15",146.7425129,-41.0875836,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28936",3,1979,"Greens Beach",TRUE,TRUE,TRUE
"2448-136246","Primary","museum_meta_198",1,"199","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2448-136246 Primary",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id",,,,,,,,,,,FALSE,,
"2449-136247","Breast","museum_meta_176",1,"177","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","AJB 2449-136247 Breast",,"Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"F",,"Australia",1,"removed_prefix_AJB|feather_type_inferred_from_specimen_id","museum_coord_16",146.7425129,-41.0875836,"Australia",1,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","28936",3,1979,"Greens Beach",TRUE,TRUE,TRUE
