candidate_id,candidate_label,validation_layer,caution_level,n_splits,mean_base_log_loss,sd_base_log_loss,mean_uncertainty_log_loss,sd_uncertainty_log_loss,mean_base_bal_accuracy,mean_uncertainty_bal_accuracy,mean_determinate_rate,mean_indeterminate_rate,mean_final_class_changed_rate,mean_any_flip_rate,mean_base_to_indeterminate_rate,mean_switch_rate,mean_class_support,mean_top_prob_shift,mean_top_prob_shift_gt_0_05_rate
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,blocked_coordinate_cv,primary_h_proxy_variance_high_caution,5,0.9200098970951133,0.10008796101585644,0.9210232027639949,0.10058838790272008,0.5888888888888889,0.5888888888888889,0.30606060606060603,0.693939393939394,0,0.6924242424242424,0.693939393939394,0.06117878787878788,0.9388212121212121,0.006086723111391254,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,blocked_coordinate_cv,baseline_cn_benchmark,5,1.095160778657442,0.014760732645867719,1.095160778657442,0.014760732645867719,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,1,0,0
r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,repeated_stratified_cv,primary_h_proxy_variance_high_caution,50,0.9601710003311786,0.08578802052903003,0.9614142148810902,0.08390681970181195,0.5383333333333333,0.5422222222222223,0.2889230769230769,0.711076923076923,0,0.5272307692307693,0.711076923076923,0.07833230769230769,0.9217636923076923,0.003298623359371773,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,repeated_stratified_cv,baseline_cn_benchmark,50,1.0943369435467725,0.01466997821220839,1.094345452470176,0.014678627218177847,0.3335555555555556,0.3335555555555556,0,1,0,0.019846153846153847,1,0.002257846153846154,0.9977421538461538,5.864760714364702e-6,0
