rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,upstream_stage_label,downstream_stage_label,uses_primary_site_reference_upstream,uses_winter_reference_downstream,uses_r1_upstream,uses_breast_h,uses_primary_h,validation_layer,n_splits,n_successful_splits,mean_split_log_loss,sd_split_log_loss,mean_split_bal_accuracy,sd_split_bal_accuracy,mean_split_accuracy,mean_split_brier,mean_split_ece,mean_split_top_prob,mean_split_weak_support_rate,mean_primary_reference_sites,mean_primary_reference_rows,pooled_log_loss,pooled_bal_accuracy,pooled_accuracy,pooled_brier,pooled_ece,pooled_mean_top_prob,pooled_weak_support_rate
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,blocked_site_cv,4,4,1.1891028706480102,0.2856934872282818,0.33611111111111114,0.22777777777777777,0.319331983805668,0.23757961118442392,0.2710015152003326,0.4861416401354866,0.6466767881241565,9.25,56,1.197058534692785,0.2994652406417112,0.32142857142857145,0.23904503818706624,0.1908787105256074,0.4858033392895111,0.6428571428571429
Rung 2,r2h_b_hybrid_siteaware_r1_then_breast_cnh,Rung 2 H: Site-aware R1 then breast C/N/H NZ-vs-AU,staged_soft_hybrid,exploratory_extension,siteaware_r1_primary_reference_then_non_siteaware_breast_cnh,Site-aware upstream R1: paired-contrast C/N + primary-site reference distance,Non-site-aware downstream migrant NZ-vs-AU model: breast C/N/H,TRUE,FALSE,TRUE,TRUE,FALSE,leave_one_site_out_cv,11,11,1.1346237488756534,0.296605430887818,0.19166666666666668,0.19913005242247533,0.27164502164502163,0.2325261256537909,0.34261752991499506,0.46895363859249384,0.5948218448218449,11,66.81818181818181,1.1821126127876351,0.29233511586452765,0.3392857142857143,0.23520100242458333,0.1588573930539918,0.4700899289107742,0.6428571428571429
