candidate_id,candidate_label,model_type,candidate_group,caution_level,validation_layer,metric,value,class
benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,leave_one_site_out_cv,calibration_intercept,0.42308119891953005,AU
benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,leave_one_site_out_cv,calibration_slope,-2.9077456080727466,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,blocked_site_cv,brier,0.25158687247460076,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,blocked_site_cv,ece,0.17925052931229285,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,blocked_site_cv,calibration_intercept,0.41846564941737346,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,blocked_site_cv,calibration_slope,-0.6413891783693225,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,leave_one_site_out_cv,brier,0.2607559320869252,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,leave_one_site_out_cv,ece,0.21661112451287998,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,leave_one_site_out_cv,calibration_intercept,0.47616660956111506,AU
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,leave_one_site_out_cv,calibration_slope,-1.2440034927855377,AU
