candidate_id,candidate_label,model_type,candidate_group,caution_level,validation_layer,n_splits,n_successful_splits,mean_split_log_loss,sd_split_log_loss,mean_split_bal_accuracy,sd_split_bal_accuracy,mean_split_accuracy,mean_split_brier,mean_split_ece,mean_split_top_prob,mean_split_weak_support_rate,mean_split_indeterminate_rate,mean_split_au_sensitivity,mean_split_au_specificity,mean_split_au_ppv,mean_split_au_npv,pooled_log_loss,pooled_bal_accuracy,pooled_accuracy,pooled_brier,pooled_mean_top_prob,pooled_weak_support_rate,pooled_indeterminate_rate,pooled_au_sensitivity,pooled_au_specificity,pooled_au_ppv,pooled_au_npv,pooled_ece,pooled_calibration_intercept,pooled_calibration_slope,pooled_log_loss_rank,pooled_bal_accuracy_rank
benchmark_r2s2_collapsed_au_non_au,Benchmark: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2,blocked_site_cv,4,4,0.6452957611220286,0.23918836754917475,0.4875,0.024999999999999994,0.7158400809716599,0.22369753812359064,0.2594492129990907,0.7176352923429955,0,0.8228744939271255,0,0.975,0,0.7302631578947368,0.688126063596429,0.48717948717948717,0.6785714285714286,0.24264421693057062,0.7299044692222496,0,0.7678571428571429,0,0.9743589743589743,0,0.6909090909090909,0.18410351005577277,0.16742355257185504,-0.954077717237925,1,2
au_non_au_a_breast_cnh,AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,breast_cnh_binary_baseline,blocked_site_cv,4,4,0.6787603265596754,0.3004087776090319,0.5,0,0.7350708502024291,0.23204733740201286,0.24153570634598787,0.7019277469858866,0,0.75,0,1,NA,0.7350708502024291,0.7327913202849707,0.5,0.6964285714285714,0.2544128014817481,0.7184252736578318,0,0.6607142857142857,0,1,NA,0.6964285714285714,0.2608218305892725,0.11053118544442747,-2.0310201687561786,2,1
benchmark_r2c_collapsed_au_non_au,Benchmark: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2,blocked_site_cv,4,4,0.7034719276471594,0.31924571006814867,0.45,0.07071067811865477,0.656545209176788,0.24510377223560464,0.30753236330029143,0.7348916830997778,0,0.5852732793522267,0,0.9,0,0.7139752791068581,0.7587075851227417,0.44871794871794873,0.625,0.26750910235513115,0.7468692470769756,0,0.5178571428571429,0,0.8974358974358975,0,0.6730769230769231,0.3118316084581753,0.20842426668944902,-1.1959405840353254,3,3
au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,blocked_site_cv,4,4,0.7066212701536793,0.297675180422587,0.45,0.07071067811865477,0.656545209176788,0.2465323920535667,0.30419406402612725,0.7248976933571082,0,0.6282051282051282,0,0.9,0,0.7139752791068581,0.7589707678121995,0.44871794871794873,0.625,0.26794964132993115,0.7385701720926314,0,0.5535714285714286,0,0.8974358974358975,0,0.6730769230769231,0.2590920210223089,0.17153293282393467,-1.2548804430530474,4,3
benchmark_r2s2_collapsed_au_non_au,Benchmark: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2,leave_one_site_out_cv,11,11,0.7847559798315031,0.6553750828428313,0.5909090909090909,0.4369314487526515,0.6003496503496504,0.27012219571688184,0.4007937820974068,0.7321287207678457,0,0.7913752913752914,0,0.8888888888888888,0,0.6603846153846153,0.7235306179411151,0.46153846153846156,0.6428571428571429,0.25259570854616137,0.7405196117625866,0,0.75,0,0.9230769230769231,0,0.6792452830188679,0.21966013037121174,0.20988258646712088,-1.4614614536362978,1,3
benchmark_r2c_collapsed_au_non_au,Benchmark: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2,leave_one_site_out_cv,11,11,0.7260934004256223,0.5508620746140513,0.5909090909090909,0.4369314487526515,0.6003496503496504,0.2543200186392146,0.39396165376636755,0.7226076084086884,0,0.7424242424242424,0,0.8888888888888888,0,0.6603846153846153,0.7792149165089102,0.46153846153846156,0.6428571428571429,0.2702742089244413,0.7374035910819436,0,0.6964285714285714,0,0.9230769230769231,0,0.6792452830188679,0.3025158397274056,0.18870152724068145,-2.630133640722856,2,3
au_non_au_a_breast_cnh,AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,breast_cnh_binary_baseline,leave_one_site_out_cv,11,11,0.7044684372604516,0.45960935521615315,0.6818181818181818,0.40451991747794525,0.6912587412587412,0.24476337018569624,0.37910035806193465,0.698485797854031,0,0.9090909090909091,0,1,NA,0.6912587412587412,0.7833994044553889,0.5,0.6964285714285714,0.2696026551968754,0.7190580621086264,0,0.7678571428571429,0,1,NA,0.6964285714285714,0.35609294967029237,0.11309769834584613,-3.677808755811755,3,1
au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,leave_one_site_out_cv,11,11,0.7337979337443756,0.5106105249532632,0.6515151515151515,0.39054481500239197,0.6609557109557109,0.25749435699051876,0.3957830249944798,0.7105684911036902,0,0.8909090909090909,0,0.9629629629629629,0,0.6912587412587412,0.7900023640220322,0.48717948717948717,0.6785714285714286,0.2734229117389445,0.7326184492586362,0,0.7321428571428571,0,0.9743589743589743,0,0.6909090909090909,0.3156325574687672,0.18062665374216494,-3.443903885636366,4,2
