candidate_id,candidate_label,strategy_family,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,n_successful_splits,mean_log_loss,sd_log_loss,mean_bal_accuracy,sd_bal_accuracy,mean_accuracy,mean_brier,mean_top_prob,mean_weak_support_rate,log_loss_rank,bal_accuracy_rank
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,5,0.9031136957291824,0.05517948890296442,0.6166666666666667,0.12171612389003691,0.6454545454545455,0.1806311116395173,0.49623140927480763,0.5696969696969697,1,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,blocked_coordinate_cv,5,0.9368607198442578,0.07372457851125222,0.6088888888888889,0.09099925382952799,0.6272727272727273,0.18793388721507498,0.4659601730092503,0.7303030303030303,2,2
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,repeated_stratified_cv,50,0.9239728225530054,0.08438750173205724,0.5324444444444445,0.12153672950509926,0.5712307692307692,0.18463138482165065,0.4861820203140681,0.6161538461538462,1,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,50,0.9965949123844602,0.07851084803408559,0.518,0.13196367564827136,0.5566153846153846,0.19959520615042697,0.4476685671360519,0.8161538461538461,2,2
