"adjudicated_sample_id","adjudicated_measurement_id","source_branch","source_file","source_sheet","source_sheet_rows","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","isotope","raw_value","value","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","source_measurement_ids","n_raw_measurements_collapsed","adjudication_method","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_ids","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes"
"live_assay_0021","live_assay_0021::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","32","CP16529_2024-10-12_primary feather","CP16529_2024-10-12_primary feather","CP16529","primary","Primary",FALSE,"normalised_d15n",7.4861809588657,7.4861809588657,0.201,3.48768447430857,"F",,,"AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE,"live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12","live_measurement_0041",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0021","live_assay_0021::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","32","CP16529_2024-10-12_primary feather","CP16529_2024-10-12_primary feather","CP16529","primary","Primary",FALSE,"normalised_d13c",-23.0117911594374,-23.0117911594374,0.201,3.48768447430857,"F",,,"AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE,"live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12","live_measurement_0042",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0024","live_assay_0024::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","35","CP16533_2024-10-11_primary feather","CP16533_2024-10-11_primary feather","CP16533","primary","Primary",FALSE,"normalised_d15n",3.44517843553491,3.44517843553491,0.249,3.3656449754767,"F","266448","266448","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE,"live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11","live_measurement_0047",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0024","live_assay_0024::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","35","CP16533_2024-10-11_primary feather","CP16533_2024-10-11_primary feather","CP16533","primary","Primary",FALSE,"normalised_d13c",-23.7924654296182,-23.7924654296182,0.249,3.3656449754767,"F","266448","266448","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE,"live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11","live_measurement_0048",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0025","live_assay_0025::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","36","CP16534_2024-10-11_breast feather","CP16534_2024-10-11_breast feather","CP16534","breast","Breast",FALSE,"normalised_d15n",10.5236576148647,10.5236576148647,0.227,3.39119566664249,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","live_measurement_0049",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0025","live_assay_0025::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","36","CP16534_2024-10-11_breast feather","CP16534_2024-10-11_breast feather","CP16534","breast","Breast",FALSE,"normalised_d13c",-10.2603025349417,-10.2603025349417,0.227,3.39119566664249,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","live_measurement_0050",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0026","live_assay_0026::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","37","CP16534_2024-10-11_primary feather","CP16534_2024-10-11_primary feather","CP16534","primary","Primary",FALSE,"normalised_d15n",3.09469860215485,3.09469860215485,0.24,3.36211062479384,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","live_measurement_0051",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0026","live_assay_0026::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","37","CP16534_2024-10-11_primary feather","CP16534_2024-10-11_primary feather","CP16534","primary","Primary",FALSE,"normalised_d13c",-22.870401252807,-22.870401252807,0.24,3.36211062479384,"M","266373","266373","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE,"live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","live_measurement_0052",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0027","live_assay_0027::normalised_d15n","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","38","CP16536_2024-10-11_breast feather","CP16536_2024-10-11_breast feather","CP16536","breast","Breast",FALSE,"normalised_d15n",13.6422268824368,13.6422268824368,0.224,3.41653617281785,"M","266428","266428","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE,"live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10","live_measurement_0053",1,"raw_assay","keep",,,,FALSE,,
"live_assay_0027","live_assay_0027::normalised_d13c","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","38","CP16536_2024-10-11_breast feather","CP16536_2024-10-11_breast feather","CP16536","breast","Breast",FALSE,"normalised_d13c",-15.617931624941,-15.617931624941,0.224,3.41653617281785,"M","266428","266428","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE,"live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10","live_measurement_0054",1,"raw_assay","keep",,,,FALSE,,
