candidate_id,candidate_label,caution_level,sensitivity_only,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,base_prob_migrant,base_class,uncertainty_prob_migrant_mean,uncertainty_prob_migrant_sd,uncertainty_prob_migrant_q10,uncertainty_prob_migrant_q90,uncertainty_class,class_support,prop_migrant_draws,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,boundary_crosses,indeterminate,operational_call,final_class_changed
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16446,"172.397899,-43.851742",172.397899,-43.851742,migrant,0.5465387501791715,migrant,0.5432128983682953,0.05439315048609678,0.4726798762568613,0.6138324990089775,migrant,0.796,0.796,TRUE,0.20399999999999996,0.5465387501791715,0.5572128145911327,0.01067406441196117,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16536,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.8317927380546551,migrant,0.8307834503407874,0.03129444974469063,0.7876131105928215,0.8712207645089298,migrant,1,1,FALSE,0,0.8317927380546551,0.8307834503407874,0.001009287713867768,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16641,"173.011986,-40.992659",173.011986,-40.992659,migrant,0.5247487000319039,migrant,0.5244058523106147,0.050549837700754455,0.46048487153889706,0.5917511370620352,migrant,0.676,0.676,TRUE,0.32399999999999995,0.5247487000319039,0.5449071157745954,0.020158415742691504,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16655,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.6324896576676003,migrant,0.6315673437984585,0.04788038538004597,0.5721963740718174,0.6896059213144541,migrant,0.994,0.994,TRUE,0.006000000000000005,0.6324896576676003,0.6317581244715397,7.315331960606741e-4,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16953,"175.700161037967,-39.3611319735646",175.700161037967,-39.3611319735646,migrant,0.9491438934511744,migrant,0.9483529710618049,0.010600817020306678,0.9345314172506539,0.9603415749981857,migrant,1,1,FALSE,0,0.9491438934511744,0.9483529710618049,7.909223893695083e-4,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP16990,"176.930825,-39.575394",176.930825,-39.575394,migrant,0.5499493288283092,migrant,0.5488243437086928,0.05240495883070852,0.4791994527664263,0.6149516186224858,migrant,0.836,0.836,TRUE,0.16400000000000003,0.5499493288283092,0.5597640307415468,0.009814701913237633,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19312,"170.145122,-43.729755",170.145122,-43.729755,migrant,0.8295779403654453,migrant,0.827915831466796,0.02865239835108186,0.7926572308290576,0.8647329559376051,migrant,1,1,FALSE,0,0.8295779403654453,0.827915831466796,0.0016621088986492616,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19346,"172.431853,-43.845691",172.431853,-43.845691,resident,0.5333247613896566,migrant,0.5347335470721541,0.05734621269560554,0.46206333052543996,0.6068892179481267,migrant,0.724,0.724,TRUE,0.276,0.5333247613896566,0.5537634354531509,0.02043867406349431,TRUE,TRUE,indeterminate,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19366,"170.144062,-43.736643",170.144062,-43.736643,migrant,0.8542791663757536,migrant,0.8526648269313172,0.02835437861556703,0.8158255051342876,0.8874915059239128,migrant,1,1,FALSE,0,0.8542791663757536,0.8526648269313172,0.0016143394444364523,FALSE,FALSE,NA,FALSE
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,paired_cn_benchmark,FALSE,blocked_coordinate_cv,Fold1,NA,Fold1,CP19907,"167.746751,-45.414278",167.746751,-45.414278,resident,0.5376994074205379,migrant,0.5387346826918961,0.048996573469859445,0.47555557096464723,0.5974501033953236,migrant,0.792,0.792,TRUE,0.20799999999999996,0.5376994074205379,0.5513714624223202,0.013672055001782257,TRUE,TRUE,indeterminate,FALSE
