candidate_id,candidate_label,validation_layer,caution_level,sensitivity_only,n_splits,mean_base_log_loss,sd_base_log_loss,mean_uncertainty_log_loss,sd_uncertainty_log_loss,mean_base_bal_accuracy,mean_uncertainty_bal_accuracy,mean_determinate_rate,mean_indeterminate_rate,mean_final_class_changed_rate,mean_any_flip_rate,mean_base_to_indeterminate_rate,mean_boundary_cross_rate,mean_switch_rate,mean_abs_top_prob_shift,mean_top_prob_shift_gt_0_05_rate
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,blocked_coordinate_cv,paired_cn_benchmark,FALSE,5,0.4920141219155253,0.07236003473511138,0.4938804216378254,0.06994285549249343,0.7888095238095238,0.7638095238095238,0.7166666666666667,0.2833333333333333,0,0.6242424242424243,0.2833333333333333,0.2833333333333333,0.11058181818181818,0.010513902667852744,0
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,blocked_coordinate_cv,paired_cn_benchmark,FALSE,5,0.506319596135586,0.0699745291000177,0.5093588895044305,0.0674233448696402,0.7188095238095238,0.7188095238095238,0.6272727272727273,0.37272727272727274,0,0.6242424242424243,0.37272727272727274,0.37272727272727274,0.10167575757575757,0.009205055541598752,0
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,blocked_coordinate_cv,primary_h_high_caution_tertiary_sensitivity,TRUE,5,0.5525701665262281,0.04133819259616993,0.5533657931776574,0.04022956788793235,0.6473809523809524,0.6473809523809524,0.7833333333333333,0.21666666666666667,0,0.5545454545454546,0.21666666666666667,0.21666666666666667,0.07400606060606062,0.00655873042199874,0
r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,repeated_stratified_cv,paired_cn_benchmark,FALSE,50,0.5108330359164186,0.06653776910909431,0.5124038438528995,0.06406096505556728,0.7429285714285715,0.7354285714285714,0.7186363636363636,0.28136363636363637,0,0.5537272727272727,0.28136363636363637,0.28136363636363637,0.08726084848484848,0.008664328983612385,0.005151515151515148
r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,repeated_stratified_cv,paired_cn_benchmark,FALSE,50,0.5312244687686677,0.06040181292264173,0.5333265919338955,0.058525394859122386,0.6754285714285715,0.6739285714285714,0.7215757575757575,0.2784242424242424,0,0.5554545454545454,0.2784242424242424,0.2784242424242424,0.09356193939393939,0.009190307240657012,0.00896969696969697
r1_g_structured_paired_cnh,Rung 1 G: Structured paired C/N/H,repeated_stratified_cv,primary_h_high_caution_tertiary_sensitivity,TRUE,50,0.5324246560729874,0.07496283532250561,0.5340767785988938,0.07191738699098993,0.680047619047619,0.676047619047619,0.7237575757575757,0.27624242424242423,0,0.570969696969697,0.27624242424242423,0.27624242424242423,0.08934048484848485,0.009304121320316267,0.012787878787878784
