"ring","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","sex","tag_id_adjusted","tag_id_raw_examples","sampling_location_general","sampling_location_specific","sampling_site_label","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known"
"CP16515","live_pheno_256|live_pheno_412",2,"CP16515_2024-10-26","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.417092,-43.923231,FALSE
"CP16516","live_pheno_257|live_pheno_413",2,"CP16516_2024-10-26","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.420411,-43.920657,FALSE
"CP16517","live_pheno_258|live_pheno_414",2,"CP16517_2024-10-26","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.419048,-43.919418,FALSE
"CP16518","live_pheno_259|live_pheno_415",2,"CP16518_2024-10-26","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.420785,-43.918876,FALSE
"CP16520","live_pheno_260|live_pheno_416",2,"CP16520_2024-10-28","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.473122,-43.815639,FALSE
"CP16521","live_pheno_261|live_pheno_417",2,"CP16521_2024-10-28","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.473122,-43.815639,FALSE
"CP16522","live_pheno_262|live_pheno_418",2,"CP16522_2024-10-28","F",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.47259,-43.815102,FALSE
"CP16523","live_pheno_263|live_pheno_419",2,"CP16523_2024-10-28","M",,,"South Island, New Zealand","Chatham Island, Chatham Islands","Chatham Island","unknown","unknown",,-176.47259,-43.815102,FALSE
"CP16524","live_pheno_264|live_pheno_420",2,"CP16524_2024-10-21","M","0ABF","0ABF","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.613603,-43.830902,FALSE
"CP16525","live_pheno_265|live_pheno_421",2,"CP16525_2024-10-21","M",,,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.605906,-43.830036,FALSE
"CP16526","live_pheno_151|live_pheno_198",2,"CP16526_2024-10-16","M","266392","266392","South Island, New Zealand","Tiwai Point, Canterbury","Tiwai Point","resident","resident","PTT revealed that the bird stayed at the Awarua Bay for the full year except for a 1 month stay at the mouth of the Mokotua stream ca. 5km away",168.420948,-46.601901,TRUE
"CP16527","live_pheno_266|live_pheno_422",2,"CP16527_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.485071,-43.87906,FALSE
"CP16528","live_pheno_267|live_pheno_423",2,"CP16528_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.485071,-43.87906,FALSE
"CP16529","live_pheno_003|live_pheno_020",2,"CP16529_2024-10-12","F",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","AU migrant","migrant","Resighting at Shoalhaven Heads, New South Wales on February 27",170.48481,-43.880201,TRUE
"CP16530","live_pheno_268|live_pheno_424",2,"CP16530_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.482569,-43.879223,FALSE
"CP16531","live_pheno_269|live_pheno_425",2,"CP16531_2024-10-12","M",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.480154,-43.878557,FALSE
"CP16532","live_pheno_270|live_pheno_426",2,"CP16532_2024-10-12","F",,,"South Island, New Zealand","Cass River, Canterbury","Cass River","unknown","unknown",,170.480154,-43.878557,FALSE
"CP16533","live_pheno_004|live_pheno_021",2,"CP16533_2024-10-11","F","266448","266448","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",170.143316,-43.733096,TRUE
"CP16534","live_pheno_005|live_pheno_022",2,"CP16534_2024-10-11","M","266373","266373","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",170.145302,-43.731722,TRUE
"CP16535","live_pheno_271|live_pheno_427",2,"CP16535_2024-10-11","F","266409","266409","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","inconclusive PTT data: gap in transmission coverage over core winter months, suspiciously low fix rate in subsequent summer, no movement from Tasman Valley",170.144324,-43.733753,FALSE
"CP16536","live_pheno_049|live_pheno_059",2,"CP16536_2024-10-10","M","266428","266428","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","SI migrant","migrant","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",170.144062,-43.736643,TRUE
"CP16537","live_pheno_272|live_pheno_428",2,"CP16537_2024-10-10","M","266455","266455","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","inconclusive PTT data: gap in transmission coverage over core winter months, suspiciously low fix rate in subsequent summer, no movement from Tasman Valley",170.144062,-43.736643,FALSE
"CP16538","live_pheno_273|live_pheno_429",2,"CP16538_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.68212,-42.387858,FALSE
"CP16539","live_pheno_274|live_pheno_430",2,"CP16539_2024-10-06","M",,,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","unknown","unknown",,173.032262,-41.12148,FALSE
"CP16540","live_pheno_152|live_pheno_199",2,"CP16540_2024-10-06","M","266456","266456","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.0307,-41.11812,TRUE
"CP16541","live_pheno_153|live_pheno_200",2,"CP16541_2024-10-05","F","266443","266443","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.030661,-41.11765,TRUE
"CP16542","live_pheno_275|live_pheno_431",2,"CP16542_2024-10-04","F","266458","266458","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","unknown","unknown","inconclusive PTT data: intriguing movements during 2024 breeding season up the Buller River, but wintered at Motueka Spit, then appears to have moved up the Buller River to breed at Murchison in the 2025 breeding season (arrive: Oct 4)",173.034923,-41.12729,FALSE
"CP16543","live_pheno_074|live_pheno_096",2,"CP16543_2024-10-04","F","266466","266466","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",173.033468,-41.123473,TRUE
"CP16607","live_pheno_276|live_pheno_432",2,"CP16607_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.668082,-42.413944,FALSE
"CP16609","live_pheno_050|live_pheno_060",2,"CP16609_2024-10-08","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","SI migrant","migrant","PTT during ethics trial revealed this bird moving to the Rakaia River in early March",173.667221,-42.413402,TRUE
"CP16614","live_pheno_277|live_pheno_433",2,"CP16614_2024-10-07","F",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681772,-42.390211,FALSE
"CP16616","live_pheno_278|live_pheno_434",2,"CP16616_2024-10-07","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.678031,-42.418668,FALSE
"CP16627","live_pheno_075|live_pheno_097",2,"CP16627_2024-10-01","M","266390","266390","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.684973,-43.82787,TRUE
"CP16628","live_pheno_076|live_pheno_098",2,"CP16628_2024-10-01","F","266391","266391","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",172.684973,-43.82787,TRUE
"CP16632","live_pheno_154|live_pheno_201",2,"CP16632_2024-10-01","F","266457","266457","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.68853,-43.827596,TRUE
"CP16635","live_pheno_155|live_pheno_202",2,"CP16635_2024-10-01","M","266461","266461","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.68853,-43.827596,TRUE
"CP16636","live_pheno_156|live_pheno_203",2,"CP16636_2024-10-01","F","266407","266407","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.663021,-43.826414,TRUE
"CP16638","live_pheno_279|live_pheno_435",2,"CP16638_2024-10-04","F",,,"South Island, New Zealand","Kina Peninsula, Tasman Bay","Kina Peninsula","unknown","unknown",,173.042891,-41.162327,FALSE
"CP16641","live_pheno_051|live_pheno_061",2,"CP16641_2024-10-05","M","266436","266436","South Island, New Zealand","Porters Beach, Abel Tasman National Park","Porters Beach","SI migrant","migrant","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)",173.011986,-40.992659,TRUE
"CP16642","live_pheno_006|live_pheno_023",2,"CP16642_2024-10-01","F","266383","266383","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE
"CP16643","live_pheno_007|live_pheno_024",2,"CP16643_2024-10-01","M","266405","266405","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE
"CP16650","live_pheno_157|live_pheno_204",2,"CP16650_2024-10-02","F","266381","266381","South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.60654,-43.831483,TRUE
"CP16651","live_pheno_280|live_pheno_436",2,"CP16651_2024-10-02","F",,,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete","unknown","unknown",,172.61287,-43.830165,FALSE
"CP16652","live_pheno_077|live_pheno_099",2,"CP16652_2024-10-04","F","266404","266404","South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE
"CP16653","live_pheno_281|live_pheno_437",2,"CP16653_2024-10-08","M",,,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura","unknown","unknown",,173.681601,-42.393894,FALSE
"CP16654","live_pheno_282|live_pheno_438",2,"CP16654_2024-10-10","M","266439","266439","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","PTT stopped transmitting a few weeks after deployment",170.143352,-43.73679,FALSE
"CP16655","live_pheno_008|live_pheno_025",2,"CP16655_2024-10-10","F","266382","266382","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",170.144062,-43.736643,TRUE
"CP16656","live_pheno_009|live_pheno_026",2,"CP16656_2024-10-11","M","266418","266418","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","AU migrant","migrant","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",170.146122,-43.727942,TRUE
"CP16657","live_pheno_283|live_pheno_439",2,"CP16657_2024-10-11","F","266427","266427","South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River","unknown","unknown","PTT stopped transmitting a few weeks after deployment",170.143316,-43.733096,FALSE
