"ring","feather_type","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","n_retained_assay_rows","n_model_contributing_rows","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","normalised_d2h","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_measurement_ids_model","source_phenotype_row_ids","adjudication_methods","has_pending_manual_qc","pending_manual_qc_reasons"
"CP16470","Breast","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.663729,-42.413163,,"Ailsa observation April 22",2,2,3,3,"CP16470_2024-10-08_breast|CP16470_2024-10-08_breast feather|CP16470_2024-10-08_breast feather_rpt","CP16470_2024-10-08_breast|CP16470_2024-10-08_breast feather",-20.1855223087705,11.8090707413693,1.16765672660225,3.40050268705047,0.2065,0.0530330085889911,"live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328","live_measurement_0025|live_measurement_0027|live_measurement_0026|live_measurement_0028|live_measurement_0328","live_pheno_071|live_pheno_093","lab_green_average|single_raw",FALSE,
"CP16470","Primary","M","resident","resident",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.663729,-42.413163,,"Ailsa observation April 22",2,2,2,2,"CP16470_2024-10-08_primary|CP16470_2024-10-08_primary feather","CP16470_2024-10-08_primary|CP16470_2024-10-08_primary feather",-14.5829328684553,14.7703700885168,-17.3986273095807,3.3511710644874,0.244,0.0848528137423857,"live_measurement_0029|live_measurement_0030|live_measurement_0329","live_measurement_0029|live_measurement_0030|live_measurement_0329","live_pheno_071|live_pheno_093","single_raw",FALSE,
"CP16501","Breast","M","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.031797,-41.120263,"266467","PTT revealed that the bird remained at Motueka Spit the full year",2,2,2,2,"CP16501_2024-10-05_breast|CP16501_2024-10-05_breast feather","CP16501_2024-10-05_breast|CP16501_2024-10-05_breast feather",-14.3823997627521,13.3340336737951,-15.2430603892517,3.35261396777322,0.2175,0.0247487373415291,"live_measurement_0031|live_measurement_0032|live_measurement_0330","live_measurement_0031|live_measurement_0032|live_measurement_0330","live_pheno_072|live_pheno_094","single_raw",FALSE,
"CP16501","Primary","M","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.031797,-41.120263,"266467","PTT revealed that the bird remained at Motueka Spit the full year",2,2,2,2,"CP16501_2024-10-05_primary|CP16501_2024-10-05_primary feather","CP16501_2024-10-05_primary|CP16501_2024-10-05_primary feather",-14.7425014773667,11.7608367044499,-11.9011912315008,3.44177313189043,0.1945,0.037476659402887,"live_measurement_0033|live_measurement_0034|live_measurement_0331","live_measurement_0033|live_measurement_0034|live_measurement_0331","live_pheno_072|live_pheno_094","single_raw",FALSE,
"CP16507","Breast","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.601856,-43.830575,"0AA1","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",2,2,2,2,"CP16507_2024-10-22_breast|CP16507_2024-10-22_breast feather","CP16507_2024-10-22_breast|CP16507_2024-10-22_breast feather",-23.0949341161739,12.4186358248271,6.70008281067213,3.36469086103228,0.222,0.0707106781186548,"live_measurement_0035|live_measurement_0036|live_measurement_0332","live_measurement_0035|live_measurement_0036|live_measurement_0332","live_pheno_073|live_pheno_095","single_raw",FALSE,
"CP16507","Primary","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.601856,-43.830575,"0AA1","the lightlogger on the GPS tag revealed that the bird remained at Lake Ellesmere over the winter",2,2,2,2,"CP16507_2024-10-22_primary|CP16507_2024-10-22_primary feather","CP16507_2024-10-22_primary|CP16507_2024-10-22_primary feather",-22.3483351915414,13.3089619458985,-26.4523764524518,3.38600413691432,0.2985,0.0459619407771256,"live_measurement_0037|live_measurement_0038|live_measurement_0333","live_measurement_0037|live_measurement_0038|live_measurement_0333","live_pheno_073|live_pheno_095","single_raw",FALSE,
"CP16529","Breast","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Cass River, Canterbury","Cass River",170.48481,-43.880201,,"Resighting at Shoalhaven Heads, New South Wales on February 27",2,2,2,2,"CP16529_2024-10-12_breast|CP16529_2024-10-12_breast feather","CP16529_2024-10-12_breast|CP16529_2024-10-12_breast feather",-15.7312208958752,14.3719613890335,-32.6667027189227,3.43426646916526,0.192,0.0254558441227157,"live_measurement_0039|live_measurement_0040|live_measurement_0334","live_measurement_0039|live_measurement_0040|live_measurement_0334","live_pheno_003|live_pheno_020","single_raw",FALSE,
"CP16529","Primary","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Cass River, Canterbury","Cass River",170.48481,-43.880201,,"Resighting at Shoalhaven Heads, New South Wales on February 27",2,2,2,2,"CP16529_2024-10-12_primary|CP16529_2024-10-12_primary feather","CP16529_2024-10-12_primary|CP16529_2024-10-12_primary feather",-23.0117911594374,7.4861809588657,-55.5965207215819,3.48768447430857,0.189,0.0169705627484772,"live_measurement_0041|live_measurement_0042|live_measurement_0335","live_measurement_0041|live_measurement_0042|live_measurement_0335","live_pheno_003|live_pheno_020","single_raw",FALSE,
"CP16533","Breast","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.143316,-43.733096,"266448","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",2,2,3,3,"CP16533_2024-10-11_breast|CP16533_2024-10-11_breast feather|CP16533_2024-10-11_breast feather_rpt","CP16533_2024-10-11_breast|CP16533_2024-10-11_breast feather",-24.042665172555,10.4110709464009,-13.2879079780336,3.34357721035238,0.19,0.0438406204335659,"live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336","live_measurement_0043|live_measurement_0045|live_measurement_0044|live_measurement_0046|live_measurement_0336","live_pheno_004|live_pheno_021","lab_green_average|single_raw",FALSE,
"CP16533","Primary","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.143316,-43.733096,"266448","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",2,2,2,2,"CP16533_2024-10-11_primary|CP16533_2024-10-11_primary feather","CP16533_2024-10-11_primary|CP16533_2024-10-11_primary feather",-23.7924654296182,3.44517843553491,-20.9252310028528,3.3656449754767,0.2195,0.0417193000900063,"live_measurement_0047|live_measurement_0048|live_measurement_0337","live_measurement_0047|live_measurement_0048|live_measurement_0337","live_pheno_004|live_pheno_021","single_raw",FALSE,
