rung,validation_layer,candidate_id,candidate_label,truth,predicted,n
Rung 2,blocked_site_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,NZ migrant,resident,9
Rung 2,blocked_site_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,AU migrant,8
Rung 2,blocked_site_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,NZ migrant,2
Rung 2,blocked_site_cv,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,resident,resident,12
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,AU migrant,NZ migrant,10
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,AU migrant,resident,7
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,NZ migrant,AU migrant,8
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,NZ migrant,NZ migrant,1
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,NZ migrant,resident,8
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,resident,AU migrant,3
Rung 2,blocked_site_cv,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,resident,resident,19
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,AU migrant,AU migrant,1
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,AU migrant,NZ migrant,3
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,AU migrant,resident,13
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,NZ migrant,AU migrant,3
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,NZ migrant,NZ migrant,5
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,NZ migrant,resident,9
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,resident,AU migrant,3
Rung 2,blocked_site_cv,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,resident,resident,19
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,AU migrant,NZ migrant,1
Rung 2,leave_one_site_out_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,AU migrant,resident,16
