"source_branch","source_file","source_sheet","source_sheet_row","source_record_label","source_sia_id","specimen_id_raw","specimen_id","feather_type_raw","feather_type","feather_replicate","region_raw","region","amount_mg","isotope","raw_value","measurement_id","measurement_harmonization_flags","assay_qc_decision_id","assay_qc_action","assay_qc_reason","assay_qc_evidence_source","assay_qc_decision_class","assay_qc_rule_basis","assay_qc_notes","qc_adjudicated_value","value","included_in_canonical","assay_qc_explicit","assay_qc_value_changed","assay_qc_value_excluded","source_metadata_row_ids","source_metadata_row_count","source_sheet_rows","museum","species","specimen_id_raw_examples","feather_type_raw_examples","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","sex","notes","geo_region","geo_region_bin","metadata_harmonization_flags","coordinate_row_ids","lon","lat","geo_region_checkpoint","geo_region_bin_checkpoint","coordinate_source","coordinate_collection_date","coordinate_month","coordinate_year","coordinate_specific_collection_location","coordinate_match_found","coordinate_specific_location_matches_metadata","coordinate_collection_date_matches_metadata"
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",17,"AV706 Breast_I",,"AV706","AV706","Breast","Breast","I","homogenate","homogenate",0.853,"normalised_d15n",8.50277722237773,"museum_measurement_0011",,,"keep",,,,,,,8.50277722237773,TRUE,FALSE,FALSE,FALSE,"museum_meta_018",1,"19","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV706 Breast","Breast","North Island, New Zealand","Porirua","Porirua, North Island, New Zealand","3136",8,1908,"Male",,"New Zealand",0,,"museum_coord_51",174.8472141,-41.1380517,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","3136",8,1908,"Porirua",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",17,"AV706 Breast_I",,"AV706","AV706","Breast","Breast","I","homogenate","homogenate",0.853,"normalised_d13c",-18.2343576151051,"museum_measurement_0012",,,"keep",,,,,,,-18.2343576151051,TRUE,FALSE,FALSE,FALSE,"museum_meta_018",1,"19","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV706 Breast","Breast","North Island, New Zealand","Porirua","Porirua, North Island, New Zealand","3136",8,1908,"Male",,"New Zealand",0,,"museum_coord_51",174.8472141,-41.1380517,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","3136",8,1908,"Porirua",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",18,"AV1740 Breast_C","AV1740 Breast","AV1740","AV1740","Breast","Breast","C","homogenate","homogenate",0.702,"normalised_d15n",11.1675466869277,"museum_measurement_0013",,,"keep",,,,,,,11.1675466869277,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",18,"AV1740 Breast_C","AV1740 Breast","AV1740","AV1740","Breast","Breast","C","homogenate","homogenate",0.702,"normalised_d13c",-18.0613097861695,"museum_measurement_0014",,,"keep",,,,,,,-18.0613097861695,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",19,"AV1740 Breast_D",,"AV1740","AV1740","Breast","Breast","D","homogenate","homogenate",0.754,"normalised_d15n",10.6930123565402,"museum_measurement_0015",,,"keep",,,,,,,10.6930123565402,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",19,"AV1740 Breast_D",,"AV1740","AV1740","Breast","Breast","D","homogenate","homogenate",0.754,"normalised_d13c",-18.2374114003216,"museum_measurement_0016",,,"keep",,,,,,,-18.2374114003216,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",20,"AV1740 Breast_E",,"AV1740","AV1740","Breast","Breast","E","homogenate","homogenate",0.807,"normalised_d15n",10.8256028312073,"museum_measurement_0017",,,"keep",,,,,,,10.8256028312073,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",20,"AV1740 Breast_E",,"AV1740","AV1740","Breast","Breast","E","homogenate","homogenate",0.807,"normalised_d13c",-18.4359074393948,"museum_measurement_0018",,,"keep",,,,,,,-18.4359074393948,TRUE,FALSE,FALSE,FALSE,"museum_meta_020",1,"21","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1740 Breast","Breast","Chatham Island, New Zealand","Waitangi West","Waitangi West, Chatham Island, New Zealand","8753",12,1923,"Male",,"New Zealand",0,,"museum_coord_42",183.1842421,-43.7908469,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","8753",12,1923,"Waitangi West",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",21,"AV1747 Breast_A","AV1747 Breast","AV1747","AV1747","Breast","Breast","A","homogenate","homogenate",0.719,"normalised_d15n",14.1383708561603,"museum_measurement_0019",,,"keep",,,,,,,14.1383708561603,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
"museum_triplicate_cn","data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls","Sample results_C&N",21,"AV1747 Breast_A","AV1747 Breast","AV1747","AV1747","Breast","Breast","A","homogenate","homogenate",0.719,"normalised_d13c",-15.0441699922568,"museum_measurement_0020",,,"keep",,,,,,,-15.0441699922568,TRUE,FALSE,FALSE,FALSE,"museum_meta_024",1,"25","Canterbury Museum, Christchruch, New Zealand","Charadrius bicinctus","AV1747 Breast","Breast","North Island, New Zealand","Paraparaumu, Wellington","Paraparaumu, Wellington, North Island, New Zealand","10458",8,1928,"Male",,"New Zealand",0,,"museum_coord_43",174.7787463,-41.2923814,"New Zealand",0,"historical_checkpoint:data/CNOH_museum_samples_201125.rds","10458",8,1928,"Paraparaumu, Wellington",TRUE,TRUE,TRUE
