source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.028224445541317044,indeterminate
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.9098140026765071,migrant
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.09018599732349286,migrant
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.22761773038611305,NZ migrant
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.6789911049226232,NZ migrant
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.09339116469126381,NZ migrant
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.3509412699266048,NZ migrant
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.613428514862987,NZ migrant
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.03563021521040827,NZ migrant
7,CP16686,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7066897664226386,migrant
7,CP16686,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.2933102335773614,migrant
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.546701068400866,AU migrant
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.164300340479435,AU migrant
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.288998591119699,AU migrant
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.45219342643086524,indeterminate
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.3290006512829829,indeterminate
7,CP16686,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.21880592228615187,indeterminate
8,CP16961,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.6343272809795211,migrant
8,CP16961,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.36567271902047893,migrant
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
8,CP16961,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.22617296727774355,indeterminate
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.42236516840945104,indeterminate
8,CP16961,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.3514618643128054,indeterminate
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.2975878966933478,indeterminate
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.37768182945291306,indeterminate
8,CP16961,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.32473027385373915,indeterminate
9,CP16962,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5370259447956447,indeterminate
9,CP16962,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4629740552043553,indeterminate
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
9,CP16962,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.19577615749054011,indeterminate
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.3333214037414519,indeterminate
9,CP16962,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.47090243876800797,indeterminate
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.24669237565903776,resident
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.24274793317658042,resident
9,CP16962,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5105596911643818,resident
10,CP19307,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5488254432028696,indeterminate
10,CP19307,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.45117455679713037,indeterminate
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
10,CP19307,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.32371359731699934,indeterminate
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2049565301433709,indeterminate
10,CP19307,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.47132987253962977,indeterminate
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.30048544943018096,indeterminate
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.23710679718329652,indeterminate
10,CP19307,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.4624077533865225,indeterminate
11,CP19308,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7192803740957368,migrant
11,CP19308,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.28071962590426325,migrant
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
11,CP19308,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.2646097232612408,indeterminate
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.4652880471809595,indeterminate
11,CP19308,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2701022295577996,indeterminate
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.30941803569004117,indeterminate
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.43512138392853983,indeterminate
11,CP19308,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.255460580381419,indeterminate
12,CP19902,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5100001508945238,indeterminate
12,CP19902,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.4899998491054762,indeterminate
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate
12,CP19902,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.39285714285714285,indeterminate
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.39971718211132345,indeterminate
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.15391602266827212,indeterminate
12,CP19902,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.44636679522040446,indeterminate
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.26099447798994235,resident
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.2264110134472231,resident
12,CP19902,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.5125945085628346,resident
13,CP19903,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.5463078573083093,indeterminate
13,CP19903,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.45369214269169067,indeterminate
