candidate_id,candidate_label,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,split_id,repeat_id,fold_id,ring,coord_group,longitude_capture,latitude_capture,truth,resident,NZ migrant,AU migrant,base_class,r1_prob_migrant,p_au_given_migrant,uncertainty_prob_resident,uncertainty_prob_NZ_migrant,uncertainty_prob_AU_migrant,uncertainty_class,class_support,top_class_mean_prob,top_class_prob_q10,top_class_prob_q90,any_draw_class_flip,switch_rate_from_base,top_prob_base,top_prob_mean,top_prob_abs_shift,indeterminate,operational_call,final_class_changed
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold1,NA,Fold1,CP19907,"167.746751,-45.414278",167.746751,-45.414278,resident,0.49407529822319374,0.25295074594576045,0.2529739558310458,resident,0.5059247017768063,0.5000229380826868,0.4919361793803225,0.2540191648254688,0.25404465579420865,resident,1,0.4919361793803225,0.4338466958000337,0.5443906484326764,FALSE,0,0.49407529822319374,0.4919361793803225,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold1,NA,Fold1,CP9059,"173.662786,-42.413422",173.662786,-42.413422,resident,0.5161964646796866,0.24182895018409345,0.2419745851362199,resident,0.48380353532031334,0.5001505104257145,0.5169540846132405,0.24144957697759448,0.241596338409165,resident,0.998,0.5169540846132405,0.4733994676273685,0.5635300971607712,TRUE,0.002,0.5161964646796866,0.5169540846132405,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16140,"173.667221,-42.413402",173.667221,-42.413402,NZ migrant,0.3331993065967678,0.3508043891986845,0.3159963042045477,NZ migrant,0.6668006934032322,0.47389918356527005,0.33375853954109724,0.3506677984933834,0.31557366196551934,NZ migrant,0.562,0.3506677984933834,0.3116690754272509,0.3879462396493338,TRUE,0.438,0.3508043891986845,0.3506677984933834,1.365907053010873e-4,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16501,"173.031797,-41.120263",173.031797,-41.120263,resident,0.5537261094344066,0.2734225031854244,0.17285138738016903,resident,0.44627389056559347,0.38732130880680166,0.5540715772946612,0.2733364620334764,0.17259196067186242,resident,1,0.5540715772946612,0.5044729079883178,0.6074770058884333,FALSE,0,0.5537261094344066,0.5540715772946612,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16529,"170.48481,-43.880201",170.48481,-43.880201,AU migrant,0.17997935829933887,0.5759858494144724,0.24403479228618874,NZ migrant,0.8200206417006611,0.2975959139029463,0.18080552750414142,0.5758304974107605,0.24336397508509808,NZ migrant,1,0.5758304974107605,0.5392369259461238,0.6127716384693438,FALSE,0,0.5759858494144724,0.5758304974107605,NA,FALSE,NZ migrant,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16533,"170.143316,-43.733096",170.143316,-43.733096,AU migrant,0.23057111392405927,0.35666890811032104,0.4127599779656197,AU migrant,0.7694288860759407,0.5364498076887658,0.22935124541888963,0.3576613460862878,0.41298740849482257,AU migrant,0.988,0.41298740849482257,0.3851467045197249,0.43976083950436395,TRUE,0.012,0.4127599779656197,0.41298740849482257,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16609,"173.667221,-42.413402",173.667221,-42.413402,NZ migrant,0.4931108971521041,0.2438201256246782,0.2630689772232177,resident,0.5068891028478959,0.5189872414798347,0.4910494437615844,0.244456919770575,0.2644936364678407,resident,1,0.4910494437615844,0.44341229166383905,0.5380691465258984,FALSE,0,0.4931108971521041,0.4910494437615844,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16652,"173.031797,-41.120263",173.031797,-41.120263,resident,0.5884360571228548,0.26218118247240163,0.14938276040474346,resident,0.4115639428771451,0.3629636730575675,0.581859870099936,0.2663958347743517,0.15174429512571228,resident,1,0.581859870099936,0.5402396072633303,0.6143910129130894,FALSE,0,0.5884360571228548,0.581859870099936,NA,FALSE,resident,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP16945,"175.702629005536,-39.379794029519",175.702629005536,-39.379794029519,NZ migrant,0.07730376596489852,0.4876979075650764,0.434998326470025,NZ migrant,0.9226962340351015,0.47144261613348765,0.07738240391273722,0.4890386462819805,0.4335789498052823,NZ migrant,0.978,0.4890386462819805,0.4654399134939644,0.5114157014817805,TRUE,0.022,0.4876979075650764,0.4890386462819805,NA,TRUE,indeterminate,FALSE
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_r1c_then_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,soft_hierarchical,blocked_coordinate_cv,Fold2,NA,Fold2,CP19314,"170.144119,-43.736765",170.144119,-43.736765,AU migrant,0.33530230286992846,0.27081790539412265,0.3938797917359489,AU migrant,0.6646976971300715,0.5925698154763915,0.3364225091703288,0.27081693859604844,0.3927605522336228,AU migrant,0.736,0.3927605522336228,0.3564353389170603,0.4306341908701324,TRUE,0.264,0.3938797917359489,0.3927605522336228,NA,TRUE,indeterminate,FALSE
