candidate_id,candidate_label,model_type,candidate_group,caution_level,validation_layer,n_splits,n_successful_splits,mean_split_log_loss,sd_split_log_loss,mean_split_bal_accuracy,sd_split_bal_accuracy,mean_split_accuracy,mean_split_brier,mean_split_ece,mean_split_top_prob,mean_split_weak_support_rate,mean_split_indeterminate_rate,mean_split_au_sensitivity,mean_split_au_specificity,mean_split_au_ppv,mean_split_au_npv,pooled_log_loss,pooled_bal_accuracy,pooled_accuracy,pooled_brier,pooled_mean_top_prob,pooled_weak_support_rate,pooled_indeterminate_rate,pooled_au_sensitivity,pooled_au_specificity,pooled_au_ppv,pooled_au_npv,pooled_ece,pooled_calibration_intercept,pooled_calibration_slope,pooled_log_loss_rank,pooled_bal_accuracy_rank
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,blocked_site_cv,4,4,0.6497733469186554,0.23131409875579362,0.5,0,0.7038742690058479,0.22590136964097618,0.24497669326465268,0.7301639573170751,0,0.8171052631578948,0,1,NA,0.7038742690058479,0.7085034707082687,0.5,0.66,0.25158687247460076,0.7437788985523233,0,0.74,0,1,NA,0.66,0.17925052931229285,0.41846564941737346,-0.6413891783693225,1,1
au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,blocked_site_cv,4,4,0.6994479619248792,0.23261688073346287,0.5,0,0.7038742690058479,0.24626247300576504,0.3187115696005798,0.7016813710121986,0,0.625,0,1,NA,0.7038742690058479,0.75701801640325594,0.5,0.66,0.27075186942870266,0.7176035269912895,0,0.52,0,1,NA,0.66,0.2921409186846977,0.28520392722136756,-1.3904843616780285,2,1
benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,blocked_site_cv,4,4,0.7181777184079499,0.30797312600663723,0.48214285714285715,0.035714285714285726,0.6760964912280701,0.24974728899974102,0.30168323047049156,0.7316087195590626,0,0.5853801169590643,0,0.9642857142857143,0,0.6969298245614035,0.7832439897912299,0.48484848484848486,0.64,0.2758158091433189,0.7493158604810222,0,0.5,0,0.9696969696969697,0,0.6530612244897959,0.3096626118985967,0.4603307850115677,-1.3613380943583173,3,3
au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,blocked_site_cv,4,4,0.7495630081395332,0.20411429096850542,0.4642857142857143,0.07142857142857142,0.6483187134502923,0.2683521698422381,0.31433138581160197,0.6594330067448528,0,0.7222222222222222,0,0.9285714285714286,0,0.6880012531328321,0.7955333931623259,0.4696969696969697,0.62,0.2877547051457312,0.683725375168624,0,0.6,0,0.9393939393939394,0,0.6458333333333334,0.30352806859072573,0.10544843796130497,-2.1669708149633142,4,4
benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_staged_rung2_on_si_subset,leave_one_site_out_cv,9,9,0.8368924195643562,0.7127983576163649,0.6111111111111112,0.4166666666666667,0.6226495726495727,0.2891284957191972,0.39915539323245747,0.7551812006619933,0,0.745014245014245,0,1,NA,0.6226495726495727,0.7443372519700091,0.5,0.66,0.2607559320869252,0.7539748578247952,0,0.72,0,1,NA,0.66,0.21661112451287998,0.47616660956111506,-1.2440034927855377,1,1
au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,leave_one_site_out_cv,9,9,0.7138033238575477,0.429511802440941,0.6111111111111112,0.4166666666666667,0.6226495726495727,0.2532691922063642,0.38834642635256406,0.698587196887286,0,0.8148148148148148,0,1,NA,0.6226495726495727,0.7904215646452887,0.5,0.66,0.2795027521847938,0.7333526000721531,0,0.62,0,1,NA,0.66,0.284768063949674,0.3692963434382689,-1.8533933089312549,2,1
benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,leave_one_site_out_cv,9,9,0.7773124471571181,0.5842135118148517,0.6111111111111112,0.4166666666666667,0.6226495726495727,0.2738645252448396,0.40074857663673874,0.7314805947082212,0,0.7592592592592593,0,1,NA,0.6226495726495727,0.8132477836739124,0.5,0.66,0.28274274532570604,0.743970521604482,0,0.7,0,1,NA,0.66,0.3075579598433645,0.42308119891953005,-2.9077456080727466,3,1
au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,leave_one_site_out_cv,9,9,0.8509905455386169,0.5330666206063414,0.6111111111111112,0.4166666666666667,0.6226495726495727,0.3058921585783499,0.43012073548641827,0.681643894011599,0,0.7777777777777778,0,1,NA,0.6226495726495727,0.8419722955861446,0.5,0.66,0.29978023522281116,0.6881094957146007,0,0.72,0,1,NA,0.66,0.36130844732392353,0.13388147465120198,-3.593405996247849,4,1
