candidate_id,candidate_label,strategy_family,caution_level,uses_r1_upstream,uses_breast_h,uses_primary_h,uses_hard_or_soft_staging,validation_layer,split_id,repeat_id,fold_id,n_analysis,n_assessment,log_loss,balanced_accuracy,accuracy,brier,mean_top_prob,weak_support_rate
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat01__Fold4,Repeat01,Fold4,46,10,0.9922295954974425,0.5555555555555556,0.6,0.19822153001349183,0.4225959345130094,0.9
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat01__Fold5,Repeat01,Fold5,46,10,1.0525311534082784,0.33333333333333337,0.4,0.21369038921401307,0.4331517002059218,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat02__Fold1,Repeat02,Fold1,43,13,0.9930058504562652,0.5,0.5384615384615384,0.20140430107140142,0.5423726425390071,0.38461538461538464
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat02__Fold2,Repeat02,Fold2,43,13,0.9446464192046762,0.5,0.5384615384615384,0.186826374488403,0.4319484996629088,0.9230769230769231
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat02__Fold3,Repeat02,Fold3,46,10,0.9773404623143883,0.5555555555555556,0.6,0.194002962401476,0.4927653764884506,0.6
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat02__Fold4,Repeat02,Fold4,46,10,1.0147196056019492,0.5555555555555556,0.6,0.20389772181201532,0.40043017360446015,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat02__Fold5,Repeat02,Fold5,46,10,1.033652690043692,0.33333333333333337,0.4,0.2073513137585072,0.3833744645483651,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat03__Fold1,Repeat03,Fold1,43,13,1.174970361806693,0.43333333333333335,0.46153846153846156,0.23510834332494304,0.52564355737389,0.38461538461538464
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat03__Fold2,Repeat03,Fold2,43,13,0.7886444039915212,0.6666666666666666,0.6923076923076923,0.155549753882554,0.5344309902740869,0.38461538461538464
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat03__Fold3,Repeat03,Fold3,46,10,1.089058295561474,0.33333333333333337,0.4,0.22003780718336483,0.39130434782608686,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat03__Fold4,Repeat03,Fold4,46,10,0.8777799667793522,0.6944444444444444,0.7,0.17412986480579823,0.46495556167434904,0.7
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat03__Fold5,Repeat03,Fold5,46,10,0.901053345210802,0.6666666666666666,0.7,0.1777304888865992,0.48251917868799005,0.5
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat04__Fold1,Repeat04,Fold1,43,13,0.9952007768059198,0.43333333333333335,0.46153846153846156,0.19982297941165045,0.43631806991293726,0.9230769230769231
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat04__Fold2,Repeat04,Fold2,43,13,1.0637244823761247,0.41666666666666663,0.46153846153846156,0.21431647896724737,0.44486298292683324,0.8461538461538461
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat04__Fold3,Repeat04,Fold3,46,10,1.089058295561474,0.33333333333333337,0.4,0.22003780718336483,0.39130434782608686,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat04__Fold4,Repeat04,Fold4,46,10,0.9906134830752896,0.5555555555555556,0.6,0.19850993441263837,0.41495398651375304,0.9
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat04__Fold5,Repeat04,Fold5,46,10,0.9758406991646145,0.6666666666666666,0.7,0.19467511089312445,0.4036005647863845,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat05__Fold1,Repeat05,Fold1,43,13,0.9735571899813039,0.5833333333333334,0.6153846153846154,0.19416534949545433,0.42444645440521767,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat05__Fold2,Repeat05,Fold2,43,13,1.0723054405956673,0.36666666666666664,0.38461538461538464,0.2176430481061763,0.46045023637218385,0.7692307692307693
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat05__Fold3,Repeat05,Fold3,46,10,0.9840394410825367,0.4444444444444444,0.5,0.20180497377831133,0.5286079880377552,0.3
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat05__Fold4,Repeat05,Fold4,46,10,0.9375269450925963,0.5555555555555556,0.6,0.18857682781167445,0.45472126522637235,0.8
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat05__Fold5,Repeat05,Fold5,46,10,0.9597243953428346,0.6666666666666666,0.7,0.19024044636342732,0.4071916472618153,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat06__Fold1,Repeat06,Fold1,43,13,1.0273383189721688,0.33333333333333337,0.38461538461538464,0.2058805345308458,0.3995059444329904,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat06__Fold2,Repeat06,Fold2,43,13,1.0081992364047827,0.5,0.5384615384615384,0.202615697856231,0.40378202987017314,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat06__Fold3,Repeat06,Fold3,46,10,0.9737373500924633,0.6666666666666666,0.7,0.19394683763058945,0.40195291489512247,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat06__Fold4,Repeat06,Fold4,46,10,1.0528949679961481,0.3611111111111111,0.4,0.21374648001603627,0.5857620155979542,0.3
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat06__Fold5,Repeat06,Fold5,46,10,0.9948534447851379,0.3611111111111111,0.4,0.2004761408014254,0.4388762576229231,1
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,TRUE,TRUE,FALSE,stacked_direct,repeated_stratified_cv,Repeat07__Fold1,Repeat07,Fold1,43,13,0.9812929637434817,0.6666666666666666,0.6923076923076923,0.19533575999787287,0.3891881345378977,1
