"specimen_id","feather_type","region","museum","species","general_collection_location","specific_collection_location","location_label","collection_date_raw","collection_month","collection_year","geo_region","geo_region_bin","lon","lat","isotopes_available","isotopes_available_n","source_branches_all","source_metadata_row_ids","coordinate_row_ids","coordinate_source","value_mean_normalised_d13c","value_mean_normalised_d15n","value_mean_normalised_d18o","value_mean_normalised_d2h","value_sd_normalised_d13c","value_sd_normalised_d15n","value_sd_normalised_d18o","value_sd_normalised_d2h","n_measurements_normalised_d13c","n_measurements_normalised_d15n","n_measurements_normalised_d18o","n_measurements_normalised_d2h","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_normalised_d18o","source_measurement_ids_normalised_d2h","has_d13c","has_d15n","has_d18o","has_d2h","has_all_4_isotopes","has_core_3_isotopes"
"17371","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","38541",7,2005,"Australia",1,145.5167602,-38.3376816,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_060","museum_coord_11","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.9466452676836,10.4150957890573,,,,,,,1,1,,,"museum_measurement_0109","museum_measurement_0108",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2291","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Altona (37 52 S, 144 49 E)","Altona (37 52 S, 144 49 E), Victoria, Australia","17570",2,1948,"Australia",1,144.8309509,-37.8645245,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_054","museum_coord_12","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-18.0729807409152,17.1768799423845,14.3107844608728,-10.6272083778205,,,,,1,1,1,1,"museum_measurement_0087","museum_measurement_0086","museum_measurement_0187","museum_measurement_0195",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2423-136221","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28935",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_174","museum_coord_13","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.7850909947582,10.2302110612468,,,,,,,1,1,,,"museum_measurement_0119","museum_measurement_0118",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","Barb","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.664199749866,9.82146798785107,,,,,,,1,1,,,"museum_measurement_0125","museum_measurement_0124",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","Rachis","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.5392235416826,12.242211077898,,,,,,,1,1,,,"museum_measurement_0123","museum_measurement_0122",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"244-111733","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Bainham","Bainham, Nelson, New Zealand","27208",6,1974,"New Zealand",0,173.2443635,-41.2985321,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_158","museum_coord_14","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-20.7745273573238,9.143888363247,13.2199996764189,-34.695008059115,,,,,1,1,1,1,"museum_measurement_0121","museum_measurement_0120","museum_measurement_0164","museum_measurement_0210",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"2448-136246","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_175","museum_coord_15","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0633936038636,7.64382362571462,,,,,,,1,1,,,"museum_measurement_0127","museum_measurement_0126",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"2449-136247","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_176","museum_coord_16","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,14.4430955092259,-35.1676143429927,,,,,,,1,1,,,"museum_measurement_0172","museum_measurement_0211",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2450-136248","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Greens Beach","Greens Beach, Tasmania, Australia","28936",3,1979,"Australia",1,146.7425129,-41.0875836,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_177","museum_coord_17","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.4511370489815,-56.9824380633887,,,,,,,1,1,,,"museum_measurement_0173","museum_measurement_0212",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35514","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_057","museum_coord_18","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.3734071500088,13.2303405363116,,,,,,,1,1,,,"museum_measurement_0111","museum_measurement_0110",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"35515","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E)","Flinders, Ocean Beach (38 28 54 S, 145 00 59 E), Victoria, Australia","43320",8,2018,"Australia",1,145.0167856,-38.4826457,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_058","museum_coord_19","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.5907408322832,-9.66919371881344,,,,,,,1,1,,,"museum_measurement_0188","museum_measurement_0207",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"35577","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Western Port, Stockyard Point (38 25 S, 145 23 E)","Western Port, Stockyard Point (38 25 S, 145 23 E), Victoria, Australia","16/07/2000",7,2000,"Australia",1,145.5167602,-38.3376816,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_056","museum_coord_20","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.239794242708,-19.3190555610164,,,,,,,1,1,,,"museum_measurement_0189","museum_measurement_0208",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"390-122989","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_171","museum_coord_21","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.3328091729542,-40.6280690876332,,,,,,,1,1,,,"museum_measurement_0171","museum_measurement_0213",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"391-122990","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_172","museum_coord_22","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-14.1364126273632,13.0534508237578,,,,,,,1,1,,,"museum_measurement_0129","museum_measurement_0128",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"392-122991","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Nelson, New Zealand","Whanganui (Westhaven) Inlet","Whanganui (Westhaven) Inlet, Nelson, New Zealand","27222",7,1974,"New Zealand",0,175.0286083,-39.9330715,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_173","museum_coord_23","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.7609641321633,12.3608826271489,,,,,,,1,1,,,"museum_measurement_0131","museum_measurement_0130",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"585-122580","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_159","museum_coord_24","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.6320972966606,10.949762434347,,,,,,,1,1,,,"museum_measurement_0133","museum_measurement_0132",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"586-122581","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_160","museum_coord_25","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.2823205135756,10.7958583906561,,,,,,,1,1,,,"museum_measurement_0135","museum_measurement_0134",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"587-122582","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_161","museum_coord_26","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-23.0855374285883,10.4660640113185,,,,,,,1,1,,,"museum_measurement_0137","museum_measurement_0136",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","Barb","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.4040572648979,12.5659358213156,,,,,,,1,1,,,"museum_measurement_0141","museum_measurement_0140",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","Rachis","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-22.359367792549,13.1705924620554,,,,,,,1,1,,,"museum_measurement_0139","museum_measurement_0138",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"588-122583","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_162","museum_coord_27","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.3157005427934,-9.9648246113549,,,,,,,1,1,,,"museum_measurement_0166","museum_measurement_0214",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"589-122584","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_163","museum_coord_28","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.7690384361202,-65.7353785035957,,,,,,,1,1,,,"museum_measurement_0167","museum_measurement_0215",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"590-122585","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_164","museum_coord_29","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,13.4742035803413,-10.0993706721725,,,,,,,1,1,,,"museum_measurement_0165","museum_measurement_0216",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"591-122586","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27967",7,1976,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_165","museum_coord_30","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-15.7841144943754,8.93202045894529,,,,,,,1,1,,,"museum_measurement_0143","museum_measurement_0142",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"592-122587","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_166","museum_coord_31","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-19.717662995465,10.1832403466139,,,,,,,1,1,,,"museum_measurement_0145","museum_measurement_0144",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"593-122588","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_167","museum_coord_32","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-18.8288903940161,9.63058491699669,,,,,,,1,1,,,"museum_measurement_0147","museum_measurement_0146",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"594-122589","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_168","museum_coord_33","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.1744526426419,-19.9894549561888,,,,,,,1,1,,,"museum_measurement_0168","museum_measurement_0217",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"595-122590","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_169","museum_coord_34","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,12.351122398258,-25.3275145932584,,,,,,,1,1,,,"museum_measurement_0169","museum_measurement_0218",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"596-122591","Breast","homogenate","Royal Ontario Museum, Toronto, Ontario, Canada","Charadrius bicinctus","Tasmania, Australia","Ralphs Bay","Ralphs Bay, Tasmania, Australia","27236",7,1974,"Australia",1,147.43,-42.97,"normalised_d18o|normalised_d2h",2,"museum_batch_h|museum_batch_o","museum_meta_170","museum_coord_35","historical_checkpoint:data/CNOH_museum_samples_201125.rds",,,15.121319859445,-24.2966144154236,,,,,,,1,1,,,"museum_measurement_0170","museum_measurement_0219",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6257","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Mildura (34 11 S, 142 09 E)","Mildura (34 11 S, 142 09 E), Victoria, Australia","20369",10,1955,"Australia",1,142.1744417,-34.2033783,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_055","museum_coord_36","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-12.7091424701101,8.36537375262893,14.6212466058272,-24.6604750552352,,,,,1,1,1,1,"museum_measurement_0089","museum_measurement_0088","museum_measurement_0190","museum_measurement_0196",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"6260","Breast","homogenate","Museums Victoria, Melbourne, Australia","Charadrius bicinctus","Victoria, Australia","Mildura (34 11 S, 142 09 E)","Mildura (34 11 S, 142 09 E), Victoria, Australia","20369",10,1955,"Australia",1,142.1744417,-34.2033783,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_049","museum_coord_37","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-16.5370045350138,11.9361474416384,15.8526769928611,7.48691923062304,,,,,1,1,1,1,"museum_measurement_0091","museum_measurement_0090","museum_measurement_0191","museum_measurement_0197",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"A28886","Breast","homogenate","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Point Malcom (-33.7833, 123.7500)","Point Malcom (-33.7833, 123.7500), Western Australia, Australia","27/11/2001",11,2001,"Australia",1,123.7442022,-33.7394625,"normalised_d13c|normalised_d15n|normalised_d18o|normalised_d2h",4,"museum_batch_cn|museum_batch_h|museum_batch_o","museum_meta_064","museum_coord_38","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-13.4197579362742,10.1872378542422,14.9733815219164,7.71006118315403,,,,,1,1,1,1,"museum_measurement_0149","museum_measurement_0148","museum_measurement_0175","museum_measurement_0220",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"A28886","Primary","Barb","Western Australia Museum, Perth, Australia","Charadrius bicinctus","Western Australia, Australia","Point Malcom (-33.7833, 123.7500)","Point Malcom (-33.7833, 123.7500), Western Australia, Australia","27/11/2001",11,2001,"Australia",1,123.7442022,-33.7394625,"normalised_d13c|normalised_d15n",2,"museum_batch_cn","museum_meta_065","museum_coord_39","historical_checkpoint:data/CNOH_museum_samples_201125.rds",-21.8461424558854,5.25408662214848,,,,,,,1,1,,,"museum_measurement_0157","museum_measurement_0156",,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
