validation_layer,candidate_id,candidate_label,full_candidate_id,pooled_log_loss,full_pooled_log_loss,delta_log_loss_vs_full,pooled_bal_accuracy,full_pooled_bal_accuracy,delta_bal_accuracy_vs_full,pooled_au_sensitivity,full_pooled_au_sensitivity,delta_au_sensitivity_vs_full,pooled_au_specificity,full_pooled_au_specificity,delta_au_specificity_vs_full,pooled_brier,full_pooled_brier,delta_brier_vs_full,pooled_ece,full_pooled_ece,delta_ece_vs_full,pooled_indeterminate_rate,full_pooled_indeterminate_rate,delta_indeterminate_rate_vs_full
blocked_site_cv,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,au_non_au_a_breast_cnh,0.7955333931623259,0.7327913202849707,0.06274207287735512,0.4696969696969697,0.5,-0.030303030303030276,0,0,0,0.9393939393939394,1,-0.06060606060606055,0.2877547051457312,0.2544128014817481,0.0333419036639831,0.30352806859072573,0.2608218305892725,0.042706238001453234,0.6,0.6607142857142857,-0.06071428571428572
blocked_site_cv,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,au_non_au_b_breast_cnh_plus_contrast_cnh,0.75701801640325594,0.7589707678121995,-0.001952751408943576,0.5,0.44871794871794873,0.051282051282051266,0,0,0,1,0.8974358974358975,0.10256410256410253,0.27075186942870266,0.26794964132993115,0.0028022280987715087,0.2921409186846977,0.2590920210223089,0.03304889766238883,0.52,0.5535714285714286,-0.033571428571428585
blocked_site_cv,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,benchmark_r2c_collapsed_au_non_au,0.7832439897912299,0.7587075851227417,0.024536404668488165,0.48484848484848486,0.44871794871794873,0.03613053613053613,0,0,0,0.9696969696969697,0.8974358974358975,0.07226107226107226,0.2758158091433189,0.26750910235513115,0.008306706788187734,0.3096626118985967,0.3118316084581753,-0.00216899655957864,0.5,0.5178571428571429,-0.017857142857142905
blocked_site_cv,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,benchmark_r2s2_collapsed_au_non_au,0.7085034707082687,0.688126063596429,0.020377407111839663,0.5,0.4871794871794872,0.012820512820512775,0,0,0,1,0.97435897435897445,0.02564102564102555,0.25158687247460076,0.24264421693057064,0.00894265554403012,0.17925052931229285,0.18410351005577277,-0.004852980743479923,0.74,0.7678571428571429,-0.027857142857142914
leave_one_site_out_cv,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,au_non_au_a_breast_cnh,0.8419722955861446,0.7833994044553889,0.0585728911307557,0.5,0.5,0,0,0,0,1,1,0,0.29978023522281116,0.2696026551968754,0.03017758002593579,0.36130844732392353,0.35609294967029237,0.005215497653631163,0.72,0.7678571428571429,-0.04785714285714293
leave_one_site_out_cv,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,au_non_au_b_breast_cnh_plus_contrast_cnh,0.7904215646452887,0.7900023640220322,4.192006232565104e-4,0.5,0.4871794871794872,0.012820512820512775,0,0,0,1,0.97435897435897445,0.02564102564102555,0.2795027521847938,0.2734229117389445,0.006079840445849305,0.284768063949674,0.3156325574687672,-0.030864493519093206,0.62,0.7321428571428571,-0.1121428571428571
leave_one_site_out_cv,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,benchmark_r2c_collapsed_au_non_au,0.8132477836739124,0.7792149165089102,0.0340328671650022,0.5,0.4615384615384616,0.03846153846153838,0,0,0,1,0.9230769230769232,0.07692307692307676,0.28274274532570604,0.2702742089244413,0.012468536401264718,0.3075579598433645,0.3025158397274056,0.005042120115958892,0.7,0.6964285714285714,0.0035714285714285587
leave_one_site_out_cv,benchmark_si_r2s2_collapsed_au_non_au,Benchmark SI: R2 S2 collapsed to AU vs non_AU,benchmark_r2s2_collapsed_au_non_au,0.7443372519700091,0.7235306179411151,0.020806634028894044,0.5,0.4615384615384616,0.03846153846153838,0,0,0,1,0.9230769230769232,0.07692307692307676,0.2607559320869252,0.25259570854616137,0.008160223540763845,0.21661112451287998,0.21966013037121176,-0.003049005858331788,0.72,0.75,-0.030000000000000027
