rung,candidate_id,candidate_label,model_type,candidate_group,caution_level,uses_primary_site_reference,uses_winter_reference,uses_r1_upstream,uses_breast_h,uses_primary_h,predictors,distance_vars,migrant_submodel_predictors
Rung 1,r1_c_paired_contrast_cn,Rung 1 C: Paired-contrast C/N,ridge_binomial,accepted_baseline,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,abs_delta_d13c|abs_delta_d15n|paired_distance_cn,abs_delta_d13c|abs_delta_d15n,
Rung 1,r1_d_structured_paired_cn,Rung 1 D: Structured paired C/N,ridge_binomial,accepted_comparator,paired_cn_benchmark,FALSE,FALSE,FALSE,FALSE,FALSE,normalised_d13c_Breast|normalised_d15n_Breast|abs_delta_d13c|abs_delta_d15n,,
Rung 1,r1_x_paired_contrast_cn_plus_primary_site_reference,Rung 1 X: Paired-contrast C/N + primary-site reference distance,ridge_binomial,exploratory_extension,training_fold_primary_site_reference_exploratory,TRUE,FALSE,FALSE,FALSE,FALSE,abs_delta_d13c|abs_delta_d15n|paired_distance_cn|primary_ref_min_site_dist_cn,abs_delta_d13c|abs_delta_d15n,
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_multinomial,co_leading_direct,primary_h_proxy_variance_high_caution,FALSE,FALSE,FALSE,TRUE,TRUE,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,,
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,ridge_multinomial,exploratory_extension,direct_cnh_plus_training_fold_winter_reference,FALSE,TRUE,FALSE,TRUE,TRUE,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h|winter_ref_dist_nz_cnh|winter_ref_dist_au_cnh,,
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,staged_soft_hierarchical,co_leading_staged,staged_r1c_then_breast_cnh_no_primary_h,FALSE,FALSE,TRUE,TRUE,FALSE,,,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,staged_soft_hierarchical,exploratory_extension,staged_r1c_then_breast_cnh_plus_training_fold_winter_reference,FALSE,TRUE,TRUE,TRUE,FALSE,,,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|winter_ref_dist_nz_cnh|winter_ref_dist_au_cnh
