"ring","sex","status","status_bin","status_known","sampling_location_general","sampling_location_specific","sampling_site_label","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","source_phenotype_row_ids","n_tissues_present","tissues_present","has_any_pending_manual_qc","pending_manual_qc_reasons_any","normalised_d13c_Breast","normalised_d13c_Primary","normalised_d15n_Breast","normalised_d15n_Primary","normalised_d2h_Breast","normalised_d2h_Primary","cn_mass_ratio_Breast","cn_mass_ratio_Primary","amount_mg_mean_Breast","amount_mg_mean_Primary","n_assays_Breast","n_assays_Primary","n_unique_samples_Breast","n_unique_samples_Primary","source_measurement_ids_Breast","source_measurement_ids_Primary","source_measurement_ids_model_Breast","source_measurement_ids_model_Primary","has_pending_manual_qc_Breast","has_pending_manual_qc_Primary","pending_manual_qc_reasons_Breast","pending_manual_qc_reasons_Primary","has_breast","has_primary","has_breast_d2h","has_primary_d2h","has_paired_h","has_complete_cn_pair","has_complete_cnh_pair","has_pending_manual_qc","pending_manual_qc_reasons","delta_d13c_breast_minus_primary","delta_d15n_breast_minus_primary"
"CP16534","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.145302,-43.731722,"266373","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)","live_pheno_005|live_pheno_022",2,"Breast|Primary",FALSE,,-10.2603025349417,-22.870401252807,10.5236576148647,3.09469860215485,7.67023696197101,-9.4040104342173,3.39119566664249,3.36211062479384,0.2025,0.21,2,2,2,2,"live_measurement_0049|live_measurement_0050|live_measurement_0338","live_measurement_0051|live_measurement_0052|live_measurement_0339","live_measurement_0049|live_measurement_0050|live_measurement_0338","live_measurement_0051|live_measurement_0052|live_measurement_0339",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,12.6100987178653,7.42895901270985
"CP16536","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Tasman River, Mt. Cook National Park","Tasman River",170.144062,-43.736643,"266428","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)","live_pheno_049|live_pheno_059",2,"Breast|Primary",FALSE,,-15.617931624941,-22.7585099728686,13.6422268824368,5.76142460136077,3.72524978572474,-26.5260048101734,3.41653617281785,3.42793128898946,0.2,0.248,2,2,2,2,"live_measurement_0053|live_measurement_0054|live_measurement_0340","live_measurement_0055|live_measurement_0056|live_measurement_0341","live_measurement_0053|live_measurement_0054|live_measurement_0340","live_measurement_0055|live_measurement_0056|live_measurement_0341",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,7.14057834792763,7.88080228107603
"CP16543","F","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.033468,-41.123473,"266466","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)","live_pheno_074|live_pheno_096",2,"Breast|Primary",FALSE,,-14.0446412953552,-16.2882895810577,12.7463740136981,11.6899878349192,-23.3261466074447,-14.9772993932422,3.44163530874813,3.38075502285142,0.158,0.206,2,2,2,2,"live_measurement_0057|live_measurement_0058|live_measurement_0342","live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343","live_measurement_0057|live_measurement_0058|live_measurement_0342","live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.24364828570254,1.05638617877888
"CP16609","F","SI migrant","migrant",TRUE,"South Island, New Zealand","Kaikoura, Canterbury","Kaikoura",173.667221,-42.413402,,"PTT during ethics trial revealed this bird moving to the Rakaia River in early March","live_pheno_050|live_pheno_060",2,"Breast|Primary",FALSE,,-22.738304318616,-17.9500325020683,12.0726227186834,14.3180414146674,-5.07977238638779,-15.1206473447666,3.42176629749809,3.46740055172569,0.226,0.3015,2,2,2,2,"live_measurement_0063|live_measurement_0064|live_measurement_0344","live_measurement_0065|live_measurement_0066|live_measurement_0345","live_measurement_0063|live_measurement_0064|live_measurement_0344","live_measurement_0065|live_measurement_0066|live_measurement_0345",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-4.7882718165477,-2.24541869598399
"CP16627","M","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266390","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year","live_pheno_075|live_pheno_097",2,"Breast|Primary",FALSE,,-21.2924562087123,-22.8453942861546,13.9967809700958,13.7672775514046,-5.7186438009701,-28.9909425095605,3.38791051930713,3.35338529552216,0.19375,0.3155,2,2,2,2,"live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346","live_measurement_0071|live_measurement_0072|live_measurement_0347","live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346","live_measurement_0071|live_measurement_0072|live_measurement_0347",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.55293807744233,0.22950341869115
"CP16628","F","resident","resident",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.684973,-43.82787,"266391","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year","live_pheno_076|live_pheno_098",2,"Breast|Primary",FALSE,,-21.5199033671861,-21.9624071953173,14.3500364670151,12.0169773361164,5.94469526556098,-56.804534571677,3.46261866461474,3.34169148563182,0.2335,0.316,2,2,2,2,"live_measurement_0073|live_measurement_0074|live_measurement_0348","live_measurement_0075|live_measurement_0076|live_measurement_0349","live_measurement_0073|live_measurement_0074|live_measurement_0348","live_measurement_0075|live_measurement_0076|live_measurement_0349",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,0.442503828131272,2.33305913089867
"CP16641","M","SI migrant","migrant",TRUE,"South Island, New Zealand","Porters Beach, Abel Tasman National Park","Porters Beach",173.011986,-40.992659,"266436","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)","live_pheno_051|live_pheno_061",2,"Breast|Primary",FALSE,,-12.6632633451957,-15.5855925266904,14.7772761729971,11.5715073412065,-9.2631726432784,-22.4537738744252,3.32401432836378,3.35169722859778,0.18,0.217,2,2,2,2,"live_measurement_0079|live_measurement_0080|live_measurement_0350","live_measurement_0077|live_measurement_0078|live_measurement_0351","live_measurement_0079|live_measurement_0080|live_measurement_0350","live_measurement_0077|live_measurement_0078|live_measurement_0351",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.92232918149466,3.20576883179061
"CP16642","F","AU migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.67954,-43.826875,"266383","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing","live_pheno_006|live_pheno_023",2,"Breast|Primary",FALSE,,-17.8242892043911,-18.9598469733855,11.7215509413972,12.6634755081217,-14.505831756736,-48.5840547669316,3.45514649182007,3.383932400064,0.212,0.2035,2,2,2,2,"live_measurement_0081|live_measurement_0082|live_measurement_0352","live_measurement_0083|live_measurement_0084|live_measurement_0353","live_measurement_0081|live_measurement_0082|live_measurement_0352","live_measurement_0083|live_measurement_0084|live_measurement_0353",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,1.1355577689944,-0.941924566724488
"CP16643","M","AU migrant","migrant",TRUE,"South Island, New Zealand","Kaitorete Spit, Canterbury","Kaitorete",172.67954,-43.826875,"266405","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing","live_pheno_007|live_pheno_024",2,"Breast|Primary",FALSE,,-24.2527181048461,-22.4837130750336,8.30492445178543,12.6978744718904,-15.8921260286888,-20.9039469363686,3.27651523764306,3.42393335210542,0.184,0.2185,2,2,2,2,"live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355","live_measurement_0087|live_measurement_0088|live_measurement_0356","live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355","live_measurement_0087|live_measurement_0088|live_measurement_0356",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,-1.76900502981245,-4.39295002010496
"CP16652","F","resident","resident",TRUE,"South Island, New Zealand","Motueka Spit, Tasman Bay","Motueka Spit",173.031797,-41.120263,"266404","PTT revealed that the bird remained at Motueka Spit the full year","live_pheno_077|live_pheno_099",2,"Breast|Primary",FALSE,,-14.09959371293,-16.4512425860024,13.3877449728695,12.6914873922758,-20.2381498006621,-19.3505563426234,3.37762816330112,3.33909554839029,0.1885,0.233,2,2,2,2,"live_measurement_0089|live_measurement_0090|live_measurement_0357","live_measurement_0091|live_measurement_0092|live_measurement_0358","live_measurement_0089|live_measurement_0090|live_measurement_0357","live_measurement_0091|live_measurement_0092|live_measurement_0358",FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,2.35164887307236,0.696257580593681
