feather_type,isotope,sample_id_base,ring,assay_qc_repeat_resolution_status,assay_qc_model_value_method,source_branches,source_files,source_sheets,n_runs,sample_id_raws,source_sheet_rows,raw_values,mean_raw_value,sd_raw_value,range_raw_value,min_raw_value,max_raw_value,mean_abs_deviation,adjudicated_model_value,evidence_design
Breast,normalised_d15n,CP16693_2024-09-30_breast feather,CP16693,resolved_comment_selected_row,explicit_use_selected_row,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP16693_2024-09-30_breast feather|CP16693_2024-09-30_breast feather_rpt,78|79,9.805326|10.393230,10.099278186248736,0.4157107263473052,0.5879037472243294,9.80532631263657,10.3932300598609,0.2939518736121647,10.3932300598609,technical_repeat_runs_same_sample_tissue
Breast,normalised_d15n,CP16962_2024-12-04_breast feather,CP16962,resolved_comment_selected_row,explicit_use_selected_row,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP16962_2024-12-04_breast feather|CP16962_2024-12-04_breast feather_rpt,97|98,11.993707|11.111162,11.552434941062149,0.6240535652316626,0.8825450155979002,11.1111624332632,11.9937074488611,0.4412725077989501,11.1111624332632,technical_repeat_runs_same_sample_tissue
Breast,normalised_d2h,CP16461_2024-10-07_breast,CP16461,resolved_mean_of_valid_repeats,mean_of_valid_repeats,live_batch5_h,data/Master_TCEA_H_SI_Batch 5 breast and primary feathers_LEH_v1_SB.xls,Sample results_H,2,CP16461_2024-10-07_breast|CP16461_2024-10-07_breast_rpt,19|20,2.163804|-2.963579,-0.39988744602774995,3.6256069848347305,5.1273825697879,-2.9635787309217,2.1638038388662,2.56369128489395,-0.399887446027748,technical_repeat_runs_same_sample_tissue
Breast,normalised_d2h,CP16643_2024-10-01_breast,CP16643,resolved_mean_of_valid_repeats,mean_of_valid_repeats,live_batch5_h,data/Master_TCEA_H_SI_Batch 5 breast and primary feathers_LEH_v1_SB.xls,Sample results_H,2,CP16643_2024-10-01_breast|CP16643_2024-10-01_breast_rpt,48|49,-15.630120|-16.154132,-15.89212602868875,0.370532274032353,0.5240117672334978,-16.1541319123055,-15.630120145072,0.2620058836167489,-15.8921260286888,technical_repeat_runs_same_sample_tissue
Primary,normalised_d13c,CP16543_2024-10-04_primary feather,CP16543,resolved_use_average,lab_green_average,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt,41|42,-16.431109|-16.145470,-16.28828958105775,0.20197764527034187,0.28563952523749947,-16.4311093436765,-16.145469818439,0.14281976261874973,-16.2882895810577,technical_repeat_runs_same_sample_tissue
Primary,normalised_d13c,CP17010_2024-10-16_primary feather,CP17010,resolved_comment_selected_row,explicit_use_selected_row,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP17010_2024-10-16_primary feather|CP17010_2024-10-16_primary feather_rpt,103|104,-23.740505|-23.683042,-23.71177354723345,0.040632084254429136,0.05746244462009997,-23.7405047695435,-23.6830423249234,0.028731222310049986,-23.6830423249234,technical_repeat_runs_same_sample_tissue
Primary,normalised_d13c,CP19311_2024-10-11_primary feather,CP19311,resolved_mean_of_valid_repeats,mean_of_valid_repeats,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP19311_2024-10-11_primary feather|CP19311_2024-10-11_primary feather_rpt,112|113,-23.496557|-22.972404,-23.23448026238035,0.3706318454177145,0.5241525824371003,-23.4965565535989,-22.9724039711618,0.26207629121855014,-23.2344802623803,technical_repeat_runs_same_sample_tissue
Primary,normalised_d13c,CP19350_2024-09-30_primary feather,CP19350,resolved_use_average,lab_green_average,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP19350_2024-09-30_primary feather|CP19350_2024-09-30_primary feather_rpt,125|126,-20.393438|-20.430059,-20.41174854548325,0.025894820082511212,0.036620805755898544,-20.4300589483612,-20.3934381426053,0.018310402877949272,-20.4117485454833,technical_repeat_runs_same_sample_tissue
Primary,normalised_d15n,CP16543_2024-10-04_primary feather,CP16543,resolved_use_average,lab_green_average,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt,41|42,11.643647|11.736328,11.6899878349192,0.06553526334161092,0.09268085823139849,11.6436474058035,11.7363282640349,0.046340429115699244,11.6899878349192,technical_repeat_runs_same_sample_tissue
Primary,normalised_d15n,CP17010_2024-10-16_primary feather,CP17010,resolved_comment_selected_row,explicit_use_selected_row,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP17010_2024-10-16_primary feather|CP17010_2024-10-16_primary feather_rpt,103|104,7.021034|6.262094,6.641563816336575,0.5366514783776826,0.7589397989892905,6.26209391684193,7.02103371583122,0.37946989949464527,6.26209391684193,technical_repeat_runs_same_sample_tissue
Primary,normalised_d15n,CP19311_2024-10-11_primary feather,CP19311,resolved_mean_of_valid_repeats,mean_of_valid_repeats,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP19311_2024-10-11_primary feather|CP19311_2024-10-11_primary feather_rpt,112|113,4.551536|6.391805,5.47167080546321,1.301266515693889,1.8402687547562797,4.55153642808507,6.39180518284135,0.9201343773781399,5.47167080546321,technical_repeat_runs_same_sample_tissue
Primary,normalised_d15n,CP19350_2024-09-30_primary feather,CP19350,resolved_use_average,lab_green_average,live_batch5_cn,data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls,Sample results_C&N,2,CP19350_2024-09-30_primary feather|CP19350_2024-09-30_primary feather_rpt,125|126,15.279820|15.300782,15.2903010272083,0.014822095459208413,0.020961608421201205,15.2798202229977,15.3007818314189,0.010480804210600603,15.2903010272083,technical_repeat_runs_same_sample_tissue
