specimen_id,feather_replicate,isotope,n_measurements,value,geo_region,source_measurement_ids,source_branches,source_files,source_sheets,evidence_design
AV706,G,normalised_d13c,1,-16.926319614033,New Zealand,museum_measurement_0010,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV706,I,normalised_d13c,1,-18.2343576151051,New Zealand,museum_measurement_0012,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1740,C,normalised_d15n,1,11.1675466869277,New Zealand,museum_measurement_0013,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1740,D,normalised_d15n,1,10.6930123565402,New Zealand,museum_measurement_0015,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1740,E,normalised_d15n,1,10.8256028312073,New Zealand,museum_measurement_0017,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,A,normalised_d15n,1,14.1383708561603,New Zealand,museum_measurement_0019,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,C,normalised_d15n,1,13.8582360938937,New Zealand,museum_measurement_0021,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1747,F,normalised_d15n,1,14.8262462510497,New Zealand,museum_measurement_0023,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,B,normalised_d15n,1,9.40100291918263,New Zealand,museum_measurement_0031,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,E,normalised_d15n,1,9.2066033510617,New Zealand,museum_measurement_0033,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV1755,G,normalised_d15n,1,9.41795057383933,New Zealand,museum_measurement_0035,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,A,normalised_d15n,1,15.6995489263006,New Zealand,museum_measurement_0025,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
AV21986,B,normalised_d15n,1,15.8072163794138,New Zealand,museum_measurement_0027,museum_triplicate_cn,data/old file versions/Master_SI_Feathers_LEH_Sept24_v1_SB_v3_sample wts added.xls,Sample results_C&N,distinct_breast_feathers_same_bird
