candidate_id,candidate_label,caution_level,validation_layer,split_id,repeat_id,fold_id,n_assessment,base_log_loss,uncertainty_log_loss,base_bal_accuracy,uncertainty_bal_accuracy,determinate_rate,indeterminate_rate,final_class_changed_rate,any_flip_rate,base_to_indeterminate_rate,mean_switch_rate,median_switch_rate,mean_class_support,mean_top_prob_shift,top_prob_shift_gt_0_05_rate
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat04__Fold4,Repeat04,Fold4,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat04__Fold5,Repeat04,Fold5,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat05__Fold1,Repeat05,Fold1,13,1.0875647851492893,1.0876412613405355,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,5.835879708643299e-5,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat05__Fold2,Repeat05,Fold2,13,1.0999385518792089,1.0999037670763068,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,1.1079411769143732e-5,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat05__Fold3,Repeat05,Fold3,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat05__Fold4,Repeat05,Fold4,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat05__Fold5,Repeat05,Fold5,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat06__Fold1,Repeat06,Fold1,13,1.0930723018494566,1.0930723018494566,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat06__Fold2,Repeat06,Fold2,13,1.0930723018494566,1.0930723018494566,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
r2_a_breast_cn,Rung 2 A: Breast-only C/N,baseline_cn_benchmark,repeated_stratified_cv,Repeat06__Fold3,Repeat06,Fold3,10,1.089058295561474,1.089058295561474,0.33333333333333337,0.33333333333333337,0,1,0,0,1,0,0,1,0,0
