validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,candidate_id,candidate_label,model_type,candidate_group,caution_level,fit_status,n_analysis,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,indeterminate_rate,au_sensitivity,au_specificity,au_ppv,au_npv,predictors_used,fit_message
leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,au_non_au_a_breast_cnh,AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,breast_cnh_binary_baseline,ok,52,0.5704573341793996,0.5,0.75,0.1908284023668639,93.84111525821808,0.05769230769230771,-0.28768207244881294,NA,0.6923076923076923,0,1,0,1,NA,0.75,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,au_non_au_a_breast_cnh,AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,breast_cnh_binary_baseline,ok,49,0.42608439531090014,1,1,0.12036651395251982,168.22948245093397,0.34693877551020413,-23.933545964765514,NA,0.6530612244897959,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,37,1.1276941338342363,0.5,0.42105263157894735,0.41747722117565644,99.04322968743166,0.4167852062588905,1.9606814663756262,NA,0.8378378378378378,0,0,0,1,NA,0.42105263157894735,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold2,13,2,Kaitorete|Rangipo Desert,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,43,0.6906830932669145,0.35,0.5384615384615384,0.2492845476753506,0.44408105167067446,0.2862057632301818,-0.5767043055052734,-1.0673414785042727,0.6999754911813008,0,0.8461538461538461,0,0.7,0,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold3,12,4,Cass River|Napier|Pisa Range|Tiwai Point,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,44,0.559767928078212,0.45,0.75,0.1869234283970124,0.1447127014129516,0.22657471011553487,-0.8471773974156859,-0.17150221499340873,0.7054752325386142,0,0.6666666666666666,0,0.9,0,0.8181818181818182,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold4,12,3,Kaikoura|Porters Beach|Te Anau,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,44,0.4483399254353544,0.5,0.9166666666666666,0.13244437096624728,0.5189554749682153,0.2872105764999018,-1.7613702537447724,784.7330498604117,0.65630221187068,0,1,0,1,NA,0.9166666666666666,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,55,1.575306750870738,0,0,0.6289377197305203,0.2652123711253232,0.7930559373275761,23.90951378625278,NA,0.7930559373275761,0,1,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,50,0.3790830334957835,1,1,0.10046255427019954,0.2786355238337512,0.3143216360811389,-23.78510988353074,1.076292803963562e-14,0.6856783639188611,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,46,0.6601164933191361,0.5,0.7,0.2314778312617803,0.3402612296156937,0.12646920809969195,0.14172969570756977,-0.6817826641600526,0.7276740234486535,0,0.8,0,1,NA,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,50,0.2867568857793832,1,1,0.06221602330571182,0.7216228327231665,0.24924426531451294,-23.463199190144906,1.3428184693171644e-13,0.7507557346854871,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Napier,3,1,Napier,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,53,0.31375314283607914,1,1,0.07278091580904793,0.7859956314278043,0.26901698300365834,-22.56598714066195,4.0215938384380406e-14,0.7309830169963417,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,55,1.1658193522060476,0,0,0.47380205431368644,1.2638519843294982,0.6883328078144223,23.358405082535665,NA,0.6883328078144223,0,1,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,54,0.32273535626365324,1,1,0.07614298272713613,0.9443619099355569,0.2757695184433592,-22.600416939341503,4.036178151111662e-14,0.7242304815566408,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Rangipo.Desert,3,1,Rangipo Desert,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,53,0.6919101486634326,0.6666666666666666,0.6666666666666666,0.24937123855641463,0.7501298843074325,0.4986080088170741,-23.562796280974048,8.633758758530271e-14,0.5253951413725918,0,1,NA,0.6666666666666666,0,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,43,1.689570116709174,0.5,0.15384615384615385,0.62948787286267,83.33897029918728,0.706618962432916,3.523906527609518,NA,0.8604651162790697,0,0,0,1,NA,0.15384615384615385,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,52,0.5437174027477939,0.5,0.75,0.17943413630391042,1.2980079307549397,0.07468478841066768,-0.3125755488953871,3047.4298372280828,0.6871739379352095,0,1,0,1,NA,0.75,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,au_non_au_b_breast_cnh_plus_contrast_cnh,AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,breast_cnh_plus_paired_h_high_caution,ok,49,0.4430085882969103,1,1,0.12832459775462907,0.926929312772106,0.35749115919426044,-23.980129896170038,5.795133346483762e-14,0.6425088408057396,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,benchmark_r2c_collapsed_au_non_au,Benchmark: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2,ok,37,1.1437484809459946,0.5,0.42105263157894735,0.42207351655006625,NA,0.43660858404159647,1.9207149375956227,-24.372857844037483,0.8312184096048778,0,0.05263157894736842,0,1,NA,0.42105263157894735,collapsed_3class_probabilities_to_binary,NA
