validation_layer,split_id,n_assessment,n_sites_assessment,assessment_sites,candidate_id,candidate_label,model_type,candidate_group,caution_level,fit_status,n_analysis,log_loss,balanced_accuracy,accuracy,brier,selected_lambda,ece,calibration_intercept,calibration_slope,mean_top_prob,weak_support_rate,indeterminate_rate,au_sensitivity,au_specificity,au_ppv,au_npv,predictors_used,fit_message
leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,au_non_au_si_a_breast_cnh,South-Island-only AU vs non_AU A: Breast-only C/N/H,ridge_binomial,direct_binary_baseline,south_island_breast_cnh_binary_baseline,ok,43,0.5031035776720805,1,1,0.15630070308274746,141.08638030426968,0.39534883720930236,-24.141185329543745,NA,0.6046511627906976,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,NA
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,31,1.041336638145451,0.5,0.42105263157894735,0.39229968782518204,94.56722348612915,0.3853989813242784,1.7455700867586796,NA,0.8064516129032258,0,0,0,1,NA,0.42105263157894735,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold2,10,1,Kaitorete,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,40,0.6479342764858378,0.5,0.7,0.22921208241167082,0.2375244789044347,0.15484184082799285,0.30508849648911857,0.1012821964719298,0.7561326199021112,0,0.5,0,1,NA,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold3,9,3,Cass River|Pisa Range|Tiwai Point,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,41,0.5720297554259612,0.5,0.7777777777777778,0.19022629426484072,0.28725974311760033,0.41760487098036625,-0.6624094258193546,0.460958333691759,0.6444751698464726,0,1,0,1,NA,0.7777777777777778,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold4,12,3,Kaikoura|Porters Beach|Te Anau,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,38,0.5364911776422667,0.5,0.9166666666666666,0.17331182752136653,0.4494356804703006,0.31700058526968167,-2.0033381137792508,7.9763408070568005,0.599666081396985,0,1,0,1,NA,0.9166666666666666,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Cass.River,1,1,Cass River,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,49,1.1770934591126863,0,0,0.47862438205214686,0.2031584894698736,0.6918268439805924,23.374742435491658,NA,0.6918268439805924,0,1,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Kaikoura,6,1,Kaikoura,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,44,0.47743369541487685,1,1,0.14557469069855514,0.2610929144728493,0.3767332934804923,-24.065491711148855,-1.1073660937940733e-15,0.6232667065195077,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Kaitorete,10,1,Kaitorete,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,40,0.6507593476154744,0.5,0.7,0.2303400336877797,0.21642345884346012,0.15981652861448817,0.33424526150526196,0.11882745666639381,0.760775135949111,0,0.5,0,1,NA,0.7,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Motueka.Spit,6,1,Motueka Spit,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,44,0.24789975159073108,1,1,0.048720435170515115,0.3248893765737277,0.21909472683744105,-23.292982448578623,-1.457290033725925e-15,0.780905273162559,0,0.8333333333333334,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Pisa.Range,1,1,Pisa Range,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,49,0.9242318477427637,0,0,0.36380665093954573,0.2344472299479876,0.6031638674021726,22.98473403851017,NA,0.6031638674021726,0,1,0,NA,NA,0,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Porters.Beach,2,1,Porters Beach,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,48,0.3587115492114234,1,1,0.09091550236443663,0.45159932725977653,0.3013499452684518,-22.725144233855154,1.0188038004868098e-13,0.6986500547315482,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Tasman.River,13,1,Tasman River,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,37,1.5665080226073862,0.5,0.15384615384615385,0.598022138562679,97.89487983336574,0.683991683991684,3.346975819450438,NA,0.8378378378378378,0,0,0,1,NA,0.15384615384615385,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Te.Anau,4,1,Te Anau,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,46,0.5576714383521304,0.5,0.75,0.18550519885308597,0.6758258090074627,0.08821689549022335,-0.4296431654093531,98.16319306082251,0.6617831045097766,0,1,0,1,NA,0.75,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
leave_one_site_out_cv,Site__Tiwai.Point,7,1,Tiwai Point,au_non_au_si_b_breast_cnh_plus_contrast_cnh,South-Island-only AU vs non_AU B: Breast C/N/H + paired contrasts,ridge_binomial,direct_binary_extension,south_island_breast_cnh_plus_paired_h_high_caution,ok,43,0.46392080307045785,1,1,0.13791369752853366,0.5531743790351078,0.3709240521075309,-24.038129873665305,-7.60503667146334e-15,0.6290759478924691,0,1,NA,1,NA,1,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast|abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,NA
blocked_site_cv,Fold1,19,2,Motueka Spit|Tasman River,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,31,1.1437484809459946,0.5,0.42105263157894735,0.42207351655006625,NA,0.43660858404159647,1.9207149375956227,-24.372857844037483,0.8312184096048778,0,0.05263157894736842,0,1,NA,0.42105263157894735,collapsed_3class_probabilities_to_binary,NA
blocked_site_cv,Fold2,10,1,Kaitorete,benchmark_si_r2c_collapsed_au_non_au,Benchmark SI: R2 C collapsed to AU vs non_AU,collapsed_multiclass_benchmark,collapsed_3class_benchmark,collapsed_from_siteaware_direct_rung2_on_si_subset,ok,40,0.6476371443757434,0.5,0.7,0.22824011468812225,NA,0.21388150823658944,0.3799074909630183,0.20164564848443584,0.7683439985877331,0,0.4,0,1,NA,0.7,collapsed_3class_probabilities_to_binary,NA
