extension_target,candidate_id,candidate_label,predictor_columns,source_table,matched_subset_required,benchmark_table,note
AU_vs_non_AU_SouthIslandOnly,au_non_au_south_island_breast_cnh,South-Island-only AU vs non_AU: Breast-only C/N/H,normalised_d13c_Breast|normalised_d15n_Breast|normalised_d2h_Breast,extension_au_non_au_south_island_breast_features.csv,TRUE,extension_au_non_au_south_island_matched_paired_labelled.csv,Binary AU-vs-non_AU breast-only comparison on the frozen South-Island-only paired complete-C/N/H subset.
AU_vs_non_AU_SouthIslandOnly,au_non_au_south_island_paired_contrast_cnh,South-Island-only AU vs non_AU: Paired-contrast C/N/H,abs_delta_d13c|abs_delta_d15n|abs_delta_d2h,extension_au_non_au_south_island_paired_contrast_features.csv,TRUE,extension_au_non_au_south_island_matched_paired_labelled.csv,"Binary AU-vs-non_AU paired-contrast comparison on the same frozen South-Island-only paired complete-C/N/H subset. Paired-distance transforms, if used later, should be recomputed within each training split."
