feather_type,isotope,n_specimens,mean_region_range,median_region_range,max_region_range,mean_region_sd,mean_abs_homogenate_minus_nonhomogenate,max_abs_homogenate_minus_nonhomogenate,evidence_stream
Breast,normalised_d13c,3,0.9371502190777997,0.9553105276511005,0.9811163377657,0.5636925159838277,0.6282349743260749,0.9292856602016499,within_feather_region_structure
Breast,normalised_d15n,3,1.8440712638227001,1.8292344360773,3.098322714651001,1.016499667690191,1.7974912912944427,1.8879511696275362,within_feather_region_structure
Primary,normalised_d13c,2,0.6509553160819497,0.6509553160819497,0.9555514012321993,0.3613585452888206,0.6204666822207479,0.9408152281992983,within_feather_region_structure
Primary,normalised_d15n,2,0.32570777584321053,0.32570777584321053,0.45477285640318055,0.16933888034406466,0.1434749338659702,0.27434811537010084,within_feather_region_structure
