"adjudicated_sample_id","source_branch","source_file","source_sheet","source_sheet_rows","source_sheet_rows_model","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","n_retained_assay_rows","n_model_contributing_rows","adjudication_method","assay_qc_variant_name","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes","raw_normalised_d13c","raw_normalised_d15n","audit_normalised_d13c","audit_normalised_d15n","adjudicated_normalised_d13c","adjudicated_normalised_d15n","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_model_normalised_d13c","source_measurement_ids_model_normalised_d15n","assay_qc_variant_row_action_normalised_d13c","assay_qc_variant_row_action_normalised_d15n","assay_qc_action_normalised_d13c","assay_qc_action_normalised_d15n","assay_qc_reason_normalised_d13c","assay_qc_reason_normalised_d15n","assay_qc_evidence_source_normalised_d13c","assay_qc_evidence_source_normalised_d15n","assay_qc_decision_ids_normalised_d13c","assay_qc_decision_ids_normalised_d15n","assay_qc_repeat_pair_detected_normalised_d13c","assay_qc_repeat_pair_detected_normalised_d15n","assay_qc_repeat_detection_sources_normalised_d13c","assay_qc_repeat_detection_sources_normalised_d15n","assay_qc_repeat_detection_pattern_normalised_d13c","assay_qc_repeat_detection_pattern_normalised_d15n","assay_qc_repeat_resolution_status_normalised_d13c","assay_qc_repeat_resolution_status_normalised_d15n","assay_qc_contributes_to_model_value_normalised_d13c","assay_qc_contributes_to_model_value_normalised_d15n","assay_qc_model_source_rows_normalised_d13c","assay_qc_model_source_rows_normalised_d15n","source_measurement_ids"
"live_model_CP16543_2024.10.04_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","41|42","41|42","CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt","CP16543_2024-10-04_primary feather","CP16543","primary","Primary",TRUE,0.223,3.38075502285142,"F","266466","266466","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",173.033468,-41.123473,TRUE,"live_pheno_074|live_pheno_096",2,"CP16543_2024-10-04",2,2,"lab_green_average","sensitivity",FALSE,,,-16.2882895810577,11.6899878349192,-16.2882895810577,11.6899878349192,-16.2882895810577,11.6899878349192,"live_measurement_0060|live_measurement_0062","live_measurement_0059|live_measurement_0061","live_measurement_0060|live_measurement_0062","live_measurement_0059|live_measurement_0061","include","include","keep","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0017|aqc_0018","aqc_0015|aqc_0016",TRUE,TRUE,"green formatting|_rpt suffix","green formatting|_rpt suffix","all_rows_green","all_rows_green","resolved_use_average","resolved_use_average",TRUE,TRUE,"41|42","41|42","live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062"
"live_model_CP16609_2024.10.08_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","43","43","CP16609_2024-10-08_breast feather","CP16609_2024-10-08_breast feather","CP16609","breast","Breast",FALSE,0.222,3.42176629749809,"F",,,"SI migrant","migrant","PTT during ethics trial revealed this bird moving to the Rakaia River in early March",173.667221,-42.413402,TRUE,"live_pheno_050|live_pheno_060",2,"CP16609_2024-10-08",1,1,"single_raw","sensitivity",FALSE,,,-22.738304318616,12.0726227186834,-22.738304318616,12.0726227186834,-22.738304318616,12.0726227186834,"live_measurement_0064","live_measurement_0063","live_measurement_0064","live_measurement_0063","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"43","43","live_measurement_0063|live_measurement_0064"
"live_model_CP16609_2024.10.08_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","44","44","CP16609_2024-10-08_primary feather","CP16609_2024-10-08_primary feather","CP16609","primary","Primary",FALSE,0.325,3.46740055172569,"F",,,"SI migrant","migrant","PTT during ethics trial revealed this bird moving to the Rakaia River in early March",173.667221,-42.413402,TRUE,"live_pheno_050|live_pheno_060",2,"CP16609_2024-10-08",1,1,"single_raw","sensitivity",FALSE,,,-17.9500325020683,14.3180414146674,-17.9500325020683,14.3180414146674,-17.9500325020683,14.3180414146674,"live_measurement_0066","live_measurement_0065","live_measurement_0066","live_measurement_0065","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"44","44","live_measurement_0065|live_measurement_0066"
"live_model_CP16627_2024.10.01_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","45|46","45|46","CP16627_2024-10-01_breast feather|CP16627_2024-10-01_breast feather_rpt","CP16627_2024-10-01_breast feather","CP16627","breast","Breast",TRUE,0.2545,3.38791051930713,"M","266390","266390","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.684973,-43.82787,TRUE,"live_pheno_075|live_pheno_097",2,"CP16627_2024-10-01",2,2,"lab_green_average","sensitivity",FALSE,,,-21.2924562087123,13.9967809700958,-21.2924562087123,13.9967809700958,-21.2924562087123,13.9967809700958,"live_measurement_0068|live_measurement_0070","live_measurement_0067|live_measurement_0069","live_measurement_0068|live_measurement_0070","live_measurement_0067|live_measurement_0069","include","include","keep","keep","Green-highlighted average is the lab-approved adjudicated C value for this repeated assay.","Green-highlighted average is the lab-approved adjudicated N value for this repeated assay.","sheet note|green average","sheet note|green average","aqc_0021|aqc_0022","aqc_0019|aqc_0020",TRUE,TRUE,"green formatting|_rpt suffix","green formatting|_rpt suffix","all_rows_green","all_rows_green","resolved_use_average","resolved_use_average",TRUE,TRUE,"45|46","45|46","live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070"
"live_model_CP16627_2024.10.01_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","47","47","CP16627_2024-10-01_primary feather","CP16627_2024-10-01_primary feather","CP16627","primary","Primary",FALSE,0.26,3.35338529552216,"M","266390","266390","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",172.684973,-43.82787,TRUE,"live_pheno_075|live_pheno_097",2,"CP16627_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-22.8453942861546,13.7672775514046,-22.8453942861546,13.7672775514046,-22.8453942861546,13.7672775514046,"live_measurement_0072","live_measurement_0071","live_measurement_0072","live_measurement_0071","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"47","47","live_measurement_0071|live_measurement_0072"
"live_model_CP16628_2024.10.01_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","48","48","CP16628_2024-10-01_breast feather","CP16628_2024-10-01_breast feather","CP16628","breast","Breast",FALSE,0.207,3.46261866461474,"F","266391","266391","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",172.684973,-43.82787,TRUE,"live_pheno_076|live_pheno_098",2,"CP16628_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-21.5199033671861,14.3500364670151,-21.5199033671861,14.3500364670151,-21.5199033671861,14.3500364670151,"live_measurement_0074","live_measurement_0073","live_measurement_0074","live_measurement_0073","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"48","48","live_measurement_0073|live_measurement_0074"
"live_model_CP16628_2024.10.01_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","49","49","CP16628_2024-10-01_primary feather","CP16628_2024-10-01_primary feather","CP16628","primary","Primary",FALSE,0.256,3.34169148563182,"F","266391","266391","resident","resident","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",172.684973,-43.82787,TRUE,"live_pheno_076|live_pheno_098",2,"CP16628_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-21.9624071953173,12.0169773361164,-21.9624071953173,12.0169773361164,-21.9624071953173,12.0169773361164,"live_measurement_0076","live_measurement_0075","live_measurement_0076","live_measurement_0075","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"49","49","live_measurement_0075|live_measurement_0076"
"live_model_CP16641_2024.10.05_.primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","50","50","CP16641_2024-10-05_ primary feather","CP16641_2024-10-05_ primary feather","CP16641","primary","Primary",FALSE,0.254,3.35169722859778,"M","266436","266436","SI migrant","migrant","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)",173.011986,-40.992659,TRUE,"live_pheno_051|live_pheno_061",2,"CP16641_2024-10-05",1,1,"single_raw","sensitivity",FALSE,,,-15.5855925266904,11.5715073412065,-15.5855925266904,11.5715073412065,-15.5855925266904,11.5715073412065,"live_measurement_0078","live_measurement_0077","live_measurement_0078","live_measurement_0077","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"50","50","live_measurement_0077|live_measurement_0078"
"live_model_CP16641_2024.10.05_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","51","51","CP16641_2024-10-05_breast feather","CP16641_2024-10-05_breast feather","CP16641","breast","Breast",FALSE,0.242,3.32401432836378,"M","266436","266436","SI migrant","migrant","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)",173.011986,-40.992659,TRUE,"live_pheno_051|live_pheno_061",2,"CP16641_2024-10-05",1,1,"single_raw","sensitivity",FALSE,,,-12.6632633451957,14.7772761729971,-12.6632633451957,14.7772761729971,-12.6632633451957,14.7772761729971,"live_measurement_0080","live_measurement_0079","live_measurement_0080","live_measurement_0079","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"51","51","live_measurement_0079|live_measurement_0080"
"live_model_CP16642_2024.10.01_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","52","52","CP16642_2024-10-01_breast feather","CP16642_2024-10-01_breast feather","CP16642","breast","Breast",FALSE,0.213,3.45514649182007,"F","266383","266383","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE,"live_pheno_006|live_pheno_023",2,"CP16642_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-17.8242892043911,11.7215509413972,-17.8242892043911,11.7215509413972,-17.8242892043911,11.7215509413972,"live_measurement_0082","live_measurement_0081","live_measurement_0082","live_measurement_0081","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"52","52","live_measurement_0081|live_measurement_0082"
"live_model_CP16642_2024.10.01_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","53","53","CP16642_2024-10-01_primary feather","CP16642_2024-10-01_primary feather","CP16642","primary","Primary",FALSE,0.201,3.383932400064,"F","266383","266383","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE,"live_pheno_006|live_pheno_023",2,"CP16642_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-18.9598469733855,12.6634755081217,-18.9598469733855,12.6634755081217,-18.9598469733855,12.6634755081217,"live_measurement_0084","live_measurement_0083","live_measurement_0084","live_measurement_0083","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"53","53","live_measurement_0083|live_measurement_0084"
"live_model_CP16643_2024.10.01_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","54","54","CP16643_2024-10-01_breast feather","CP16643_2024-10-01_breast feather","CP16643","breast","Breast",FALSE,0.218,3.27651523764306,"M","266405","266405","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE,"live_pheno_007|live_pheno_024",2,"CP16643_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-24.2527181048461,8.30492445178543,-24.2527181048461,8.30492445178543,-24.2527181048461,8.30492445178543,"live_measurement_0086","live_measurement_0085","live_measurement_0086","live_measurement_0085","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"54","54","live_measurement_0085|live_measurement_0086"
"live_model_CP16643_2024.10.01_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","55","55","CP16643_2024-10-01_primary feather","CP16643_2024-10-01_primary feather","CP16643","primary","Primary",FALSE,0.254,3.42393335210542,"M","266405","266405","AU migrant","migrant","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",172.67954,-43.826875,TRUE,"live_pheno_007|live_pheno_024",2,"CP16643_2024-10-01",1,1,"single_raw","sensitivity",FALSE,,,-22.4837130750336,12.6978744718904,-22.4837130750336,12.6978744718904,-22.4837130750336,12.6978744718904,"live_measurement_0088","live_measurement_0087","live_measurement_0088","live_measurement_0087","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"55","55","live_measurement_0087|live_measurement_0088"
"live_model_CP16652_2024.10.04_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","56","56","CP16652_2024-10-04_breast feather","CP16652_2024-10-04_breast feather","CP16652","breast","Breast",FALSE,0.219,3.37762816330112,"F","266404","266404","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_077|live_pheno_099",2,"CP16652_2024-10-04",1,1,"single_raw","sensitivity",FALSE,,,-14.09959371293,13.3877449728695,-14.09959371293,13.3877449728695,-14.09959371293,13.3877449728695,"live_measurement_0090","live_measurement_0089","live_measurement_0090","live_measurement_0089","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"56","56","live_measurement_0089|live_measurement_0090"
"live_model_CP16652_2024.10.04_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","57","57","CP16652_2024-10-04_primary feather","CP16652_2024-10-04_primary feather","CP16652","primary","Primary",FALSE,0.218,3.33909554839029,"F","266404","266404","resident","resident","PTT revealed that the bird remained at Motueka Spit the full year",173.031797,-41.120263,TRUE,"live_pheno_077|live_pheno_099",2,"CP16652_2024-10-04",1,1,"single_raw","sensitivity",FALSE,,,-16.4512425860024,12.6914873922758,-16.4512425860024,12.6914873922758,-16.4512425860024,12.6914873922758,"live_measurement_0092","live_measurement_0091","live_measurement_0092","live_measurement_0091","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"57","57","live_measurement_0091|live_measurement_0092"
"live_model_CP16655_2024.10.10_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","58","58","CP16655_2024-10-10_breast feather","CP16655_2024-10-10_breast feather","CP16655","breast","Breast",FALSE,0.211,3.49065133595308,"F","266382","266382","AU migrant","migrant","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",170.144062,-43.736643,TRUE,"live_pheno_008|live_pheno_025",2,"CP16655_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-24.7559366505141,7.8216830215885,-24.7559366505141,7.8216830215885,-24.7559366505141,7.8216830215885,"live_measurement_0094","live_measurement_0093","live_measurement_0094","live_measurement_0093","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"58","58","live_measurement_0093|live_measurement_0094"
"live_model_CP16655_2024.10.10_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","59","59","CP16655_2024-10-10_primary feather","CP16655_2024-10-10_primary feather","CP16655","primary","Primary",FALSE,0.251,3.40269035384714,"F","266382","266382","AU migrant","migrant","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",170.144062,-43.736643,TRUE,"live_pheno_008|live_pheno_025",2,"CP16655_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-22.3998596098855,4.15782584920362,-22.3998596098855,4.15782584920362,-22.3998596098855,4.15782584920362,"live_measurement_0096","live_measurement_0095","live_measurement_0096","live_measurement_0095","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"59","59","live_measurement_0095|live_measurement_0096"
"live_model_CP16656_2024.10.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","60","60","CP16656_2024-10-11_breast feather","CP16656_2024-10-11_breast feather","CP16656","breast","Breast",FALSE,0.234,3.46010613576185,"M","266418","266418","AU migrant","migrant","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",170.146122,-43.727942,TRUE,"live_pheno_009|live_pheno_026",2,"CP16656_2024-10-11",1,1,"single_raw","sensitivity",FALSE,,,-21.9086897983393,12.5950059846792,-21.9086897983393,12.5950059846792,-21.9086897983393,12.5950059846792,"live_measurement_0098","live_measurement_0097","live_measurement_0098","live_measurement_0097","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"60","60","live_measurement_0097|live_measurement_0098"
"live_model_CP16656_2024.10.11_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","61","61","CP16656_2024-10-11_primary feather","CP16656_2024-10-11_primary feather","CP16656","primary","Primary",FALSE,0.207,3.38601652186944,"M","266418","266418","AU migrant","migrant","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",170.146122,-43.727942,TRUE,"live_pheno_009|live_pheno_026",2,"CP16656_2024-10-11",1,1,"single_raw","sensitivity",FALSE,,,-23.5834103533861,3.88752192894621,-23.5834103533861,3.88752192894621,-23.5834103533861,3.88752192894621,"live_measurement_0100","live_measurement_0099","live_measurement_0100","live_measurement_0099","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"61","61","live_measurement_0099|live_measurement_0100"
"live_model_CP16667_2024.12.09_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","62","62","CP16667_2024-12-09_breast feather","CP16667_2024-12-09_breast feather","CP16667","breast","Breast",FALSE,0.219,3.4562707982674,"M","266470_B","266470","AU migrant","migrant","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",169.161329995841,-44.8660619650036,TRUE,"live_pheno_010|live_pheno_027",2,"CP16667_2024-12-09",1,1,"single_raw","sensitivity",FALSE,,,-16.9847442701969,9.53620500785815,-16.9847442701969,9.53620500785815,-16.9847442701969,9.53620500785815,"live_measurement_0102","live_measurement_0101","live_measurement_0102","live_measurement_0101","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"62","62","live_measurement_0101|live_measurement_0102"
"live_model_CP16667_2024.12.09_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","63","63","CP16667_2024-12-09_primary feather","CP16667_2024-12-09_primary feather","CP16667","primary","Primary",FALSE,0.237,3.4301838239043,"M","266470_B","266470","AU migrant","migrant","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",169.161329995841,-44.8660619650036,TRUE,"live_pheno_010|live_pheno_027",2,"CP16667_2024-12-09",1,1,"single_raw","sensitivity",FALSE,,,-22.8979289872113,6.43119266062136,-22.8979289872113,6.43119266062136,-22.8979289872113,6.43119266062136,"live_measurement_0104","live_measurement_0103","live_measurement_0104","live_measurement_0103","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"63","63","live_measurement_0103|live_measurement_0104"
"live_model_CP16670_2024.12.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","64","64","CP16670_2024-12-11_breast feather","CP16670_2024-12-11_breast feather","CP16670","breast","Breast",FALSE,0.236,3.52153047896136,"M",,,"unknown","unknown",,169.215938011184,-45.3418160229921,FALSE,"live_pheno_113|live_pheno_131",2,"CP16670_2024-12-11",1,1,"single_raw","sensitivity",FALSE,,,-26.0702167048647,7.14041835479308,-26.0702167048647,7.14041835479308,-26.0702167048647,7.14041835479308,"live_measurement_0106","live_measurement_0105","live_measurement_0106","live_measurement_0105","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"64","64","live_measurement_0105|live_measurement_0106"
"live_model_CP16670_2024.12.11_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","65","65","CP16670_2024-12-11_primary feather","CP16670_2024-12-11_primary feather","CP16670","primary","Primary",FALSE,0.197,3.49154478443063,"M",,,"unknown","unknown",,169.215938011184,-45.3418160229921,FALSE,"live_pheno_113|live_pheno_131",2,"CP16670_2024-12-11",1,1,"single_raw","sensitivity",FALSE,,,-22.9845231060158,4.95893178996275,-22.9845231060158,4.95893178996275,-22.9845231060158,4.95893178996275,"live_measurement_0108","live_measurement_0107","live_measurement_0108","live_measurement_0107","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"65","65","live_measurement_0107|live_measurement_0108"
"live_model_CP16671_2024.12.11_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","66","66","CP16671_2024-12-11_breast feather","CP16671_2024-12-11_breast feather","CP16671","breast","Breast",FALSE,0.305,3.35313657163971,"F",,,"unknown","unknown",,169.213724015281,-45.3410719614476,FALSE,"live_pheno_114|live_pheno_132",2,"CP16671_2024-12-11",1,1,"single_raw","sensitivity",FALSE,,,-21.4948794468739,10.3509292265791,-21.4948794468739,10.3509292265791,-21.4948794468739,10.3509292265791,"live_measurement_0110","live_measurement_0109","live_measurement_0110","live_measurement_0109","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"66","66","live_measurement_0109|live_measurement_0110"
"live_model_CP16671_2024.12.11_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","67","67","CP16671_2024-12-11_primary feather","CP16671_2024-12-11_primary feather","CP16671","primary","Primary",FALSE,0.206,3.49429796929782,"F",,,"unknown","unknown",,169.213724015281,-45.3410719614476,FALSE,"live_pheno_114|live_pheno_132",2,"CP16671_2024-12-11",1,1,"single_raw","sensitivity",FALSE,,,-22.6088299255407,5.71680698522049,-22.6088299255407,5.71680698522049,-22.6088299255407,5.71680698522049,"live_measurement_0112","live_measurement_0111","live_measurement_0112","live_measurement_0111","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"67","67","live_measurement_0111|live_measurement_0112"
"live_model_CP16677_2024.12.13_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","68","68","CP16677_2024-12-13_breast feather","CP16677_2024-12-13_breast feather","CP16677","breast","Breast",FALSE,0.22,3.38717153015162,"M",,,"unknown","unknown",,169.20916903764,-45.3364670276642,FALSE,"live_pheno_115|live_pheno_133",2,"CP16677_2024-12-13",1,1,"single_raw","sensitivity",FALSE,,,-13.4558267549856,10.491282119553,-13.4558267549856,10.491282119553,-13.4558267549856,10.491282119553,"live_measurement_0114","live_measurement_0113","live_measurement_0114","live_measurement_0113","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"68","68","live_measurement_0113|live_measurement_0114"
"live_model_CP16677_2024.12.13_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","69","69","CP16677_2024-12-13_primary feather","CP16677_2024-12-13_primary feather","CP16677","primary","Primary",FALSE,0.207,3.45358752771625,"M",,,"unknown","unknown",,169.20916903764,-45.3364670276642,FALSE,"live_pheno_115|live_pheno_133",2,"CP16677_2024-12-13",1,1,"single_raw","sensitivity",FALSE,,,-23.0656359175076,4.82354697155025,-23.0656359175076,4.82354697155025,-23.0656359175076,4.82354697155025,"live_measurement_0116","live_measurement_0115","live_measurement_0116","live_measurement_0115","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"69","69","live_measurement_0115|live_measurement_0116"
"live_model_CP16678_2024.12.13_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","70","70","CP16678_2024-12-13_breast feather","CP16678_2024-12-13_breast feather","CP16678","breast","Breast",FALSE,0.262,3.30016413403725,"F",,,"unknown","unknown",,169.20916903764,-45.3364670276642,FALSE,"live_pheno_116|live_pheno_134",2,"CP16678_2024-12-13",1,1,"single_raw","sensitivity",FALSE,,,-23.2303119996661,11.122604278131,-23.2303119996661,11.122604278131,-23.2303119996661,11.122604278131,"live_measurement_0118","live_measurement_0117","live_measurement_0118","live_measurement_0117","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"70","70","live_measurement_0117|live_measurement_0118"
