rung,candidate_id,candidate_label,validation_layer,metric,value,class
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,leave_one_site_out_cv,one_vs_rest_ece,0.22829476074269656,resident
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,leave_one_site_out_cv,one_vs_rest_brier,0.2159749030926115,NZ migrant
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,leave_one_site_out_cv,one_vs_rest_ece,0.06826731749054668,NZ migrant
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,leave_one_site_out_cv,one_vs_rest_brier,0.2702742089244413,AU migrant
Rung 2,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,leave_one_site_out_cv,one_vs_rest_ece,0.3025158397274056,AU migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,macro_brier,0.2436307968022195,overall
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,confidence_ece,0.21019807947108682,overall
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.24429862886501466,resident
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.13521251695897693,resident
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.2095278173153732,NZ migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.15856271140972317,NZ migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.27706594422627057,AU migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.3222106367799276,AU migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,macro_brier,0.2502842928049913,overall
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,confidence_ece,0.22856616748517308,overall
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.26572612363249853,resident
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.2580629734729426,resident
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.21368383199470325,NZ migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.06840895609612375,NZ migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.27144292278777205,AU migrant
Rung 2,r2_x_direct_cnh_plus_paired_contrast_plus_winter_reference,Rung 2 X: Direct C/N/H + paired contrasts + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.26480192243596973,AU migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,macro_brier,0.21466856110778942,overall
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,confidence_ece,0.20599607374289325,overall
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_brier,0.18525033750869985,resident
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_ece,0.1500635922889495,resident
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_brier,0.21611112888409778,NZ migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_ece,0.11496179414416427,NZ migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_brier,0.24264421693057062,AU migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,blocked_site_cv,one_vs_rest_ece,0.18410351005577277,AU migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,macro_brier,0.21930289739794925,overall
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,confidence_ece,0.10954635980436668,overall
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_brier,0.18147320609771292,resident
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_ece,0.10321346164201135,resident
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_brier,0.22383977754997342,NZ migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_ece,0.13763438735277186,NZ migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_brier,0.25259570854616137,AU migrant
Rung 2,r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,leave_one_site_out_cv,one_vs_rest_ece,0.21966013037121174,AU migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,macro_brier,0.2176693949169401,overall
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,confidence_ece,0.12048293374280906,overall
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.20512795576433057,resident
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.15300413847613148,resident
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.19778736456044613,NZ migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.08637177770886321,NZ migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_brier,0.25009286442604356,AU migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,blocked_site_cv,one_vs_rest_ece,0.2405495883537344,AU migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,macro_brier,0.22267900025947512,overall
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,confidence_ece,0.12743862509016843,overall
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.18842294299858314,resident
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.11480117554482713,resident
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.22331254961666908,NZ migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.09565683529603028,NZ migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_brier,0.2563015081631731,AU migrant
Rung 2,r2x_b_staged_r1c_then_breast_cnh_plus_winter_reference,Rung 2 X2: Soft hierarchical R1 C then breast C/N/H + winter reference distances,leave_one_site_out_cv,one_vs_rest_ece,0.2436841613600016,AU migrant
