candidate_id,candidate_label,validation_layer,strategy_family,caution_level,metric,value,class
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,repeated_stratified_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_brier,0.20414215554819498,NZ migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,repeated_stratified_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_ece,0.07950239845002596,NZ migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,repeated_stratified_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_brier,0.19005832112262683,AU migrant
r2s_a_breast_cnh_plus_r1c_prob,Rung 2 S1: Breast C/N/H + out-of-fold R1 migrant probability,repeated_stratified_cv,probability_augmented_direct,staged_r1c_prob_plus_breast_cnh_no_primary_h,one_vs_rest_ece,0.09946797949127378,AU migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,macro_brier,0.18501828003461546,overall
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,confidence_ece,0.12278378498893422,overall
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_brier,0.17001035142363272,resident
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_ece,0.13648265932699946,resident
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_brier,0.2018490912566213,NZ migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_ece,0.11340371608955599,NZ migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_brier,0.18319539742359234,AU migrant
r2s_b_soft_hierarchical_r1c_then_breast_cnh,Rung 2 S2: Soft hierarchical R1 C then breast C/N/H NZ-vs-AU,repeated_stratified_cv,soft_hierarchical_two_step,staged_r1c_then_breast_cnh_no_primary_h,one_vs_rest_ece,0.08964146625582918,AU migrant
