comparison_subset_id,extension_target,ring,sampling_site_label,sampling_location_specific,sampling_location_general,longitude_capture,latitude_capture,status,status_bin,status_rung2_3class,status_au_non_au,sex,tag_id_adjusted,migratory_status_comment,normalised_d13c_Breast,normalised_d13c_Primary,normalised_d15n_Breast,normalised_d15n_Primary,normalised_d2h_Breast,normalised_d2h_Primary,delta_d13c_breast_minus_primary,delta_d15n_breast_minus_primary,delta_d2h_breast_minus_primary,abs_delta_d13c,abs_delta_d15n,abs_delta_d2h,source_phenotype_row_ids,source_measurement_ids_Breast,source_measurement_ids_Primary,source_measurement_ids_model_Breast,source_measurement_ids_model_Primary
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16534,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.145302,-43.731722,AU migrant,migrant,AU migrant,AU,M,266373,"PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",-10.2603025349417,-22.870401252807,10.5236576148647,3.09469860215485,7.67023696197101,-9.4040104342173,12.6100987178653,7.42895901270985,17.07424739618831,12.6100987178653,7.42895901270985,17.07424739618831,live_pheno_005|live_pheno_022,live_measurement_0049|live_measurement_0050|live_measurement_0338,live_measurement_0051|live_measurement_0052|live_measurement_0339,live_measurement_0049|live_measurement_0050|live_measurement_0338,live_measurement_0051|live_measurement_0052|live_measurement_0339
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16536,Tasman River,"Tasman River, Mt. Cook National Park","South Island, New Zealand",170.144062,-43.736643,SI migrant,migrant,NZ migrant,non_AU,M,266428,"PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",-15.617931624941,-22.758509972868598,13.6422268824368,5.76142460136077,3.72524978572474,-26.5260048101734,7.1405783479275975,7.88080228107603,30.25125459589814,7.1405783479275975,7.88080228107603,30.25125459589814,live_pheno_049|live_pheno_059,live_measurement_0053|live_measurement_0054|live_measurement_0340,live_measurement_0055|live_measurement_0056|live_measurement_0341,live_measurement_0053|live_measurement_0054|live_measurement_0340,live_measurement_0055|live_measurement_0056|live_measurement_0341
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16543,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.033468,-41.123473,resident,resident,resident,non_AU,F,266466,PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December),-14.0446412953552,-16.2882895810577,12.7463740136981,11.6899878349192,-23.3261466074447,-14.9772993932422,2.2436482857025,1.056386178778899,-8.348847214202499,2.2436482857025,1.056386178778899,8.348847214202499,live_pheno_074|live_pheno_096,live_measurement_0057|live_measurement_0058|live_measurement_0342,live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343,live_measurement_0057|live_measurement_0058|live_measurement_0342,live_measurement_0059|live_measurement_0061|live_measurement_0060|live_measurement_0062|live_measurement_0343
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16609,Kaikoura,"Kaikoura, Canterbury","South Island, New Zealand",173.667221,-42.413402,SI migrant,migrant,NZ migrant,non_AU,F,NA,PTT during ethics trial revealed this bird moving to the Rakaia River in early March,-22.738304318616,-17.9500325020683,12.0726227186834,14.3180414146674,-5.07977238638779,-15.1206473447666,-4.788271816547699,-2.245418695984,10.040874958378808,4.788271816547699,2.245418695984,10.040874958378808,live_pheno_050|live_pheno_060,live_measurement_0063|live_measurement_0064|live_measurement_0344,live_measurement_0065|live_measurement_0066|live_measurement_0345,live_measurement_0063|live_measurement_0064|live_measurement_0344,live_measurement_0065|live_measurement_0066|live_measurement_0345
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16627,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.684973,-43.82787,resident,resident,resident,non_AU,M,266390,PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year,-21.2924562087123,-22.8453942861546,13.9967809700958,13.7672775514046,-5.7186438009701,-28.9909425095605,1.5529380774423025,0.22950341869120017,23.2722987085904,1.5529380774423025,0.22950341869120017,23.2722987085904,live_pheno_075|live_pheno_097,live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346,live_measurement_0071|live_measurement_0072|live_measurement_0347,live_measurement_0067|live_measurement_0069|live_measurement_0068|live_measurement_0070|live_measurement_0346,live_measurement_0071|live_measurement_0072|live_measurement_0347
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16628,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.684973,-43.82787,resident,resident,resident,non_AU,F,266391,PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year,-21.5199033671861,-21.9624071953173,14.3500364670151,12.0169773361164,5.94469526556098,-56.804534571677,0.44250382813120126,2.3330591308987003,62.74922983723798,0.44250382813120126,2.3330591308987003,62.74922983723798,live_pheno_076|live_pheno_098,live_measurement_0073|live_measurement_0074|live_measurement_0348,live_measurement_0075|live_measurement_0076|live_measurement_0349,live_measurement_0073|live_measurement_0074|live_measurement_0348,live_measurement_0075|live_measurement_0076|live_measurement_0349
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16641,Porters Beach,"Porters Beach, Abel Tasman National Park","South Island, New Zealand",173.011986,-40.992659,SI migrant,migrant,NZ migrant,non_AU,M,266436,PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July),-12.6632633451957,-15.5855925266904,14.7772761729971,11.5715073412065,-9.2631726432784,-22.4537738744252,2.9223291814946997,3.2057688317906,13.190601231146799,2.9223291814946997,3.2057688317906,13.190601231146799,live_pheno_051|live_pheno_061,live_measurement_0079|live_measurement_0080|live_measurement_0350,live_measurement_0077|live_measurement_0078|live_measurement_0351,live_measurement_0079|live_measurement_0080|live_measurement_0350,live_measurement_0077|live_measurement_0078|live_measurement_0351
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16642,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.67954,-43.826875,AU migrant,migrant,AU migrant,AU,F,266383,"PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",-17.8242892043911,-18.9598469733855,11.7215509413972,12.6634755081217,-14.505831756736,-48.5840547669316,1.1355577689943992,-0.9419245667244986,34.0782230101956,1.1355577689943992,0.9419245667244986,34.0782230101956,live_pheno_006|live_pheno_023,live_measurement_0081|live_measurement_0082|live_measurement_0352,live_measurement_0083|live_measurement_0084|live_measurement_0353,live_measurement_0081|live_measurement_0082|live_measurement_0352,live_measurement_0083|live_measurement_0084|live_measurement_0353
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16643,Kaitorete,"Kaitorete Spit, Canterbury","South Island, New Zealand",172.67954,-43.826875,AU migrant,migrant,AU migrant,AU,M,266405,"PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",-24.2527181048461,-22.4837130750336,8.30492445178543,12.6978744718904,-15.8921260286888,-20.9039469363686,-1.7690050298125009,-4.392950020104969,5.011820907679802,1.7690050298125009,4.392950020104969,5.011820907679802,live_pheno_007|live_pheno_024,live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355,live_measurement_0087|live_measurement_0088|live_measurement_0356,live_measurement_0085|live_measurement_0086|live_measurement_0354|live_measurement_0355,live_measurement_0087|live_measurement_0088|live_measurement_0356
au_non_au_matched_paired_complete_cnh,AU_vs_non_AU,CP16652,Motueka Spit,"Motueka Spit, Tasman Bay","South Island, New Zealand",173.031797,-41.120263,resident,resident,resident,non_AU,F,266404,PTT revealed that the bird remained at Motueka Spit the full year,-14.09959371293,-16.4512425860024,13.3877449728695,12.6914873922758,-20.2381498006621,-19.3505563426234,2.351648873072401,0.6962575805937004,-0.887593458038701,2.351648873072401,0.6962575805937004,0.887593458038701,live_pheno_077|live_pheno_099,live_measurement_0089|live_measurement_0090|live_measurement_0357,live_measurement_0091|live_measurement_0092|live_measurement_0358,live_measurement_0089|live_measurement_0090|live_measurement_0357,live_measurement_0091|live_measurement_0092|live_measurement_0358
