rung,validation_layer,candidate_id,candidate_label,model_family,caution_level,preferred_default,uses_breast_h,uses_primary_h,uses_paired_distance,n_successful_splits,mean_log_loss,sd_log_loss,mean_bal_accuracy,sd_bal_accuracy,mean_accuracy,mean_brier,median_lambda,log_loss_rank,bal_accuracy_rank
rung2,blocked_coordinate_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,5,0.93712850539117,0.10819679008830457,0.6,0.1817269692644014,0.6272727272727273,0.18733719409502175,0.37618297732713235,1,1
rung2,blocked_coordinate_cv,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,5,1.095160778657442,0.01476073264586772,0.33333333333333337,0,0.3939393939393939,0.22141941298506956,176.97654620732186,2,2
rung2,blocked_coordinate_cv,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,5,1.0961398748900166,0.015564966404841906,0.33333333333333337,0,0.3939393939393939,0.221630426767052,163.8576452288321,3,2
rung2,blocked_coordinate_cv,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,TRUE,5,1.1049834325841015,0.0299481919002944,0.3055555555555556,0.06211299937499417,0.35757575757575755,0.22411865335747133,170.9418139077429,4,4
rung2,repeated_stratified_cv,r2_c_breast_cnh_plus_paired_contrast,Rung 2 C: Breast C/N/H + paired contrasts,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,TRUE,TRUE,TRUE,FALSE,50,0.941829482050072,0.09663034222614601,0.5404444444444444,0.14331513885470476,0.574,0.18847625495137366,0.5008328254927763,1,1
rung2,repeated_stratified_cv,r2_d_breast_cnh_plus_paired_distance,Rung 2 D: Breast C/N/H + paired distance,ridge_glmnet_multinomial,primary_h_provisional_pending_triplicate_check,FALSE,TRUE,TRUE,TRUE,50,1.0918459580270639,0.010865766272676032,0.3294444444444445,0.02691985810499466,0.38784615384615384,0.22077223611280639,164.56039645161144,2,3
rung2,repeated_stratified_cv,r2_a_breast_cn,Rung 2 A: Breast-only C/N,ridge_glmnet_multinomial,baseline_cn_benchmark,TRUE,FALSE,FALSE,FALSE,50,1.0925081284389104,0.007911811372201748,0.3338888888888889,0.003928371006591923,0.39384615384615385,0.22076505099099927,156.36359211379056,3,2
rung2,repeated_stratified_cv,r2_b_breast_cnh,Rung 2 B: Breast-only C/N/H,ridge_glmnet_multinomial,breast_h_provisional_pending_triplicate_check,TRUE,TRUE,FALSE,FALSE,50,1.0950747247279462,0.016524401226753214,0.3256666666666667,0.03667817451516199,0.38230769230769235,0.22143289331454816,165.0596018008345,4,4
