"ring","feather_type","sex","status","status_bin","status_known","longitude_capture","latitude_capture","tag_id_adjusted","migratory_status_comment","n_assays","n_unique_samples","sample_ids_raw","sample_ids_base","normalised_d13c","normalised_d15n","cn_mass_ratio","amount_mg_mean","amount_mg_sd","source_measurement_ids","source_phenotype_row_ids"
"CP16533","Breast","F","AU migrant","migrant",TRUE,170.143316,-43.733096,"266448","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",2,1,"CP16533_2024-10-11_breast feather|CP16533_2024-10-11_breast feather_rpt","CP16533_2024-10-11_breast feather",-24.042665172555,10.4110709464009,3.34357721035238,0.221,0.0155563491861041,"live_measurement_0022|live_measurement_0023","live_pheno_004|live_pheno_021"
"CP16533","Primary","F","AU migrant","migrant",TRUE,170.143316,-43.733096,"266448","PTT revealed this bird attempting trans-Tasman migration twice (departures: March 12 and March 24), with the 2nd attempt failing",1,1,"CP16533_2024-10-11_primary feather","CP16533_2024-10-11_primary feather",-23.7924654296182,3.44517843553491,3.3656449754767,0.249,,"live_measurement_0024","live_pheno_004|live_pheno_021"
"CP16534","Breast","M","AU migrant","migrant",TRUE,170.145302,-43.731722,"266373","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",1,1,"CP16534_2024-10-11_breast feather","CP16534_2024-10-11_breast feather",-10.2603025349417,10.5236576148647,3.39119566664249,0.227,,"live_measurement_0025","live_pheno_005|live_pheno_022"
"CP16534","Primary","M","AU migrant","migrant",TRUE,170.145302,-43.731722,"266373","PTT revealed this bird migrating to the mouth of the Snowy River, Victoria (arrival: April 3)",1,1,"CP16534_2024-10-11_primary feather","CP16534_2024-10-11_primary feather",-22.870401252807,3.09469860215485,3.36211062479384,0.24,,"live_measurement_0026","live_pheno_005|live_pheno_022"
"CP16536","Breast","M","SI migrant","migrant",TRUE,170.144062,-43.736643,"266428","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",1,1,"CP16536_2024-10-11_breast feather","CP16536_2024-10-11_breast feather",-15.617931624941,13.6422268824368,3.41653617281785,0.224,,"live_measurement_0027","live_pheno_049|live_pheno_059"
"CP16536","Primary","M","SI migrant","migrant",TRUE,170.144062,-43.736643,"266428","PTT revealed this bird wintering at Farewell Spit (arrival: Jan 2, departure: Sep 2)",1,1,"CP16536_2024-10-10_primary feather","CP16536_2024-10-10_primary feather",-22.7585099728686,5.76142460136077,3.42793128898946,0.218,,"live_measurement_0028","live_pheno_049|live_pheno_059"
"CP16543","Breast","F","resident","resident",TRUE,173.033468,-41.123473,"266466","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",1,1,"CP16543_2024-10-04_breast feather","CP16543_2024-10-04_breast feather",-14.0446412953552,12.7463740136981,3.44163530874813,0.191,,"live_measurement_0029","live_pheno_074|live_pheno_096"
"CP16543","Primary","F","resident","resident",TRUE,173.033468,-41.123473,"266466","PTT revealed that the bird remained at Motueka Spit the full year (except for a brief 2 day foray to Takaka in mid-December)",2,1,"CP16543_2024-10-04_primary feather|CP16543_2024-10-04_primary feather_rpt","CP16543_2024-10-04_primary feather",-16.2882895810577,11.6899878349192,3.38075502285142,0.223,0.00848528137423858,"live_measurement_0030|live_measurement_0031","live_pheno_074|live_pheno_096"
"CP16609","Breast","F","SI migrant","migrant",TRUE,173.667221,-42.413402,,"PTT during ethics trial revealed this bird moving to the Rakaia River in early March",1,1,"CP16609_2024-10-08_breast feather","CP16609_2024-10-08_breast feather",-22.738304318616,12.0726227186834,3.42176629749809,0.222,,"live_measurement_0032","live_pheno_050|live_pheno_060"
"CP16609","Primary","F","SI migrant","migrant",TRUE,173.667221,-42.413402,,"PTT during ethics trial revealed this bird moving to the Rakaia River in early March",1,1,"CP16609_2024-10-08_primary feather","CP16609_2024-10-08_primary feather",-17.9500325020683,14.3180414146674,3.46740055172569,0.325,,"live_measurement_0033","live_pheno_050|live_pheno_060"
"CP16627","Breast","M","resident","resident",TRUE,172.684973,-43.82787,"266390","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",2,1,"CP16627_2024-10-01_breast feather|CP16627_2024-10-01_breast feather_rpt","CP16627_2024-10-01_breast feather",-21.2924562087123,13.9967809700958,3.38791051930713,0.2545,0.0487903679018718,"live_measurement_0034|live_measurement_0035","live_pheno_075|live_pheno_097"
"CP16627","Primary","M","resident","resident",TRUE,172.684973,-43.82787,"266390","PTT revealed that the bird remained near Birdlings Flat and Kaituna Lagoon the full year",1,1,"CP16627_2024-10-01_primary feather","CP16627_2024-10-01_primary feather",-22.8453942861546,13.7672775514046,3.35338529552216,0.26,,"live_measurement_0036","live_pheno_075|live_pheno_097"
"CP16628","Breast","F","resident","resident",TRUE,172.684973,-43.82787,"266391","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",1,1,"CP16628_2024-10-01_breast feather","CP16628_2024-10-01_breast feather",-21.5199033671861,14.3500364670151,3.46261866461474,0.207,,"live_measurement_0037","live_pheno_076|live_pheno_098"
"CP16628","Primary","F","resident","resident",TRUE,172.684973,-43.82787,"266391","PTT revealed that the bird remained near Birdlings Flat and Lake Ellesmere the full year",1,1,"CP16628_2024-10-01_primary feather","CP16628_2024-10-01_primary feather",-21.9624071953173,12.0169773361164,3.34169148563182,0.256,,"live_measurement_0038","live_pheno_076|live_pheno_098"
"CP16641","Breast","M","SI migrant","migrant",TRUE,173.011986,-40.992659,"266436","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)",1,1,"CP16641_2024-10-05_breast feather","CP16641_2024-10-05_breast feather",-12.6632633451957,14.7772761729971,3.32401432836378,0.242,,"live_measurement_0040","live_pheno_051|live_pheno_061"
"CP16641","Primary","M","SI migrant","migrant",TRUE,173.011986,-40.992659,"266436","PTT revealed that the bird wintered on the mudflats near the Nelson Haven and Boulder Bank (from mid-April to mid-July)",1,1,"CP16641_2024-10-05_ primary feather","CP16641_2024-10-05_ primary feather",-15.5855925266904,11.5715073412065,3.35169722859778,0.254,,"live_measurement_0039","live_pheno_051|live_pheno_061"
"CP16642","Breast","F","AU migrant","migrant",TRUE,172.67954,-43.826875,"266383","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",1,1,"CP16642_2024-10-01_breast feather","CP16642_2024-10-01_breast feather",-17.8242892043911,11.7215509413972,3.45514649182007,0.213,,"live_measurement_0041","live_pheno_006|live_pheno_023"
"CP16642","Primary","F","AU migrant","migrant",TRUE,172.67954,-43.826875,"266383","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",1,1,"CP16642_2024-10-01_primary feather","CP16642_2024-10-01_primary feather",-18.9598469733855,12.6634755081217,3.383932400064,0.201,,"live_measurement_0042","live_pheno_006|live_pheno_023"
"CP16643","Breast","M","AU migrant","migrant",TRUE,172.67954,-43.826875,"266405","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",1,1,"CP16643_2024-10-01_breast feather","CP16643_2024-10-01_breast feather",-24.2527181048461,8.30492445178543,3.27651523764306,0.218,,"live_measurement_0043","live_pheno_007|live_pheno_024"
"CP16643","Primary","M","AU migrant","migrant",TRUE,172.67954,-43.826875,"266405","PTT revealed this bird attempting trans-Tasman migration (departure: May 5), but failing",1,1,"CP16643_2024-10-01_primary feather","CP16643_2024-10-01_primary feather",-22.4837130750336,12.6978744718904,3.42393335210542,0.254,,"live_measurement_0044","live_pheno_007|live_pheno_024"
"CP16652","Breast","F","resident","resident",TRUE,173.031797,-41.120263,"266404","PTT revealed that the bird remained at Motueka Spit the full year",1,1,"CP16652_2024-10-04_breast feather","CP16652_2024-10-04_breast feather",-14.09959371293,13.3877449728695,3.37762816330112,0.219,,"live_measurement_0045","live_pheno_077|live_pheno_099"
"CP16652","Primary","F","resident","resident",TRUE,173.031797,-41.120263,"266404","PTT revealed that the bird remained at Motueka Spit the full year",1,1,"CP16652_2024-10-04_primary feather","CP16652_2024-10-04_primary feather",-16.4512425860024,12.6914873922758,3.33909554839029,0.218,,"live_measurement_0046","live_pheno_077|live_pheno_099"
"CP16655","Breast","F","AU migrant","migrant",TRUE,170.144062,-43.736643,"266382","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",1,1,"CP16655_2024-10-10_breast feather","CP16655_2024-10-10_breast feather",-24.7559366505141,7.8216830215885,3.49065133595308,0.211,,"live_measurement_0047","live_pheno_008|live_pheno_025"
"CP16655","Primary","F","AU migrant","migrant",TRUE,170.144062,-43.736643,"266382","PTT revealed this bird migrating to Cape Barren Island, Tasmania (arrival: March 20)",1,1,"CP16655_2024-10-10_primary feather","CP16655_2024-10-10_primary feather",-22.3998596098855,4.15782584920362,3.40269035384714,0.251,,"live_measurement_0048","live_pheno_008|live_pheno_025"
"CP16656","Breast","M","AU migrant","migrant",TRUE,170.146122,-43.727942,"266418","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",1,1,"CP16656_2024-10-11_breast feather","CP16656_2024-10-11_breast feather",-21.9086897983393,12.5950059846792,3.46010613576185,0.234,,"live_measurement_0049","live_pheno_009|live_pheno_026"
"CP16656","Primary","M","AU migrant","migrant",TRUE,170.146122,-43.727942,"266418","PTT revealed this bird migrating to Lake Gellie and Lake Corongamite, inland Victoria (arrival: April 27, departure: June 22)",1,1,"CP16656_2024-10-11_primary feather","CP16656_2024-10-11_primary feather",-23.5834103533861,3.88752192894621,3.38601652186944,0.207,,"live_measurement_0050","live_pheno_009|live_pheno_026"
"CP16667","Breast","M","AU migrant","migrant",TRUE,169.161329995841,-44.8660619650036,"266470_B","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",1,1,"CP16667_2024-12-09_breast feather","CP16667_2024-12-09_breast feather",-16.9847442701969,9.53620500785815,3.4562707982674,0.219,,"live_measurement_0051","live_pheno_010|live_pheno_027"
"CP16667","Primary","M","AU migrant","migrant",TRUE,169.161329995841,-44.8660619650036,"266470_B","PTT revealed this bird migrating to Corner Inlet, Victoria (arrival: May 21, departure: Sep 14)",1,1,"CP16667_2024-12-09_primary feather","CP16667_2024-12-09_primary feather",-22.8979289872113,6.43119266062136,3.4301838239043,0.237,,"live_measurement_0052","live_pheno_010|live_pheno_027"
"CP16670","Breast","M","unknown","unknown",FALSE,169.215938011184,-45.3418160229921,,,1,1,"CP16670_2024-12-11_breast feather","CP16670_2024-12-11_breast feather",-26.0702167048647,7.14041835479308,3.52153047896136,0.236,,"live_measurement_0053","live_pheno_113|live_pheno_131"
"CP16670","Primary","M","unknown","unknown",FALSE,169.215938011184,-45.3418160229921,,,1,1,"CP16670_2024-12-11_primary feather","CP16670_2024-12-11_primary feather",-22.9845231060158,4.95893178996275,3.49154478443063,0.197,,"live_measurement_0054","live_pheno_113|live_pheno_131"
"CP16671","Breast","F","unknown","unknown",FALSE,169.213724015281,-45.3410719614476,,,1,1,"CP16671_2024-12-11_breast feather","CP16671_2024-12-11_breast feather",-21.4948794468739,10.3509292265791,3.35313657163971,0.305,,"live_measurement_0055","live_pheno_114|live_pheno_132"
"CP16671","Primary","F","unknown","unknown",FALSE,169.213724015281,-45.3410719614476,,,1,1,"CP16671_2024-12-11_primary feather","CP16671_2024-12-11_primary feather",-22.6088299255407,5.71680698522049,3.49429796929782,0.206,,"live_measurement_0056","live_pheno_114|live_pheno_132"
"CP16677","Breast","M","unknown","unknown",FALSE,169.20916903764,-45.3364670276642,,,1,1,"CP16677_2024-12-13_breast feather","CP16677_2024-12-13_breast feather",-13.4558267549856,10.491282119553,3.38717153015162,0.22,,"live_measurement_0057","live_pheno_115|live_pheno_133"
