ring,rung2_class,isotope,value
CP19311,NZ migrant,normalised_d15n_Breast,8.16879707947654
CP19311,NZ migrant,normalised_d2h_Breast,-67.5925063450784
CP19312,AU migrant,normalised_d13c_Breast,-20.1365264153173
CP19312,AU migrant,normalised_d15n_Breast,15.7489177714583
CP19312,AU migrant,normalised_d2h_Breast,-5.76406501795435
CP19314,AU migrant,normalised_d13c_Breast,-20.9353793877792
CP19314,AU migrant,normalised_d15n_Breast,9.11276685224496
CP19314,AU migrant,normalised_d2h_Breast,-4.50714443967175
CP19327,NZ migrant,normalised_d13c_Breast,-14.7462971530249
CP19327,NZ migrant,normalised_d15n_Breast,14.2859172518353
CP19327,NZ migrant,normalised_d2h_Breast,-10.4885647577129
CP19340,AU migrant,normalised_d13c_Breast,-23.1370222195958
CP19340,AU migrant,normalised_d15n_Breast,12.2141638963432
CP19340,AU migrant,normalised_d2h_Breast,3.25806710111963
CP19346,resident,normalised_d13c_Breast,-23.6106784068077
CP19346,resident,normalised_d15n_Breast,11.4762590619618
CP19346,resident,normalised_d2h_Breast,-11.4546469831619
CP19350,NZ migrant,normalised_d13c_Breast,-22.9932864768683
CP19350,NZ migrant,normalised_d15n_Breast,10.2356874401532
CP19350,NZ migrant,normalised_d2h_Breast,-14.5679577035717
CP19360,NZ migrant,normalised_d13c_Breast,-15.6494167356104
CP19360,NZ migrant,normalised_d15n_Breast,9.64897104177514
CP19360,NZ migrant,normalised_d2h_Breast,-27.747857656815
CP19361,resident,normalised_d13c_Breast,-13.9185362373694
CP19361,resident,normalised_d15n_Breast,13.103579897515
CP19361,resident,normalised_d2h_Breast,-21.3772879516674
CP19365,AU migrant,normalised_d13c_Breast,-23.3101243339637
CP19365,AU migrant,normalised_d15n_Breast,11.322927655372
CP19365,AU migrant,normalised_d2h_Breast,15.6787653351278
CP19366,AU migrant,normalised_d13c_Breast,-13.6699580427845
CP19366,AU migrant,normalised_d15n_Breast,10.7163868306164
CP19366,AU migrant,normalised_d2h_Breast,-3.06216382712083
CP19368,AU migrant,normalised_d13c_Breast,-23.9349596678529
CP19368,AU migrant,normalised_d15n_Breast,11.5187906958187
CP19368,AU migrant,normalised_d2h_Breast,2.60262477330125
CP19371,resident,normalised_d13c_Breast,-12.4035084505378
CP19371,resident,normalised_d15n_Breast,13.4932655104738
CP19371,resident,normalised_d2h_Breast,-22.0604717762451
CP19907,resident,normalised_d13c_Breast,-22.1134454329775
CP19907,resident,normalised_d15n_Breast,11.3039454995212
CP19907,resident,normalised_d2h_Breast,-14.3435048647567
CP19908,resident,normalised_d13c_Breast,-17.4723366032384
CP19908,resident,normalised_d15n_Breast,10.1721944967357
CP19908,resident,normalised_d2h_Breast,-10.3039561166372
CP19915,NZ migrant,normalised_d13c_Breast,-26.9150664294187
CP19915,NZ migrant,normalised_d15n_Breast,11.5217746568784
CP19915,NZ migrant,normalised_d2h_Breast,-12.6838579153021
CP19921,resident,normalised_d13c_Breast,-23.3146109134045
CP19921,resident,normalised_d15n_Breast,8.23046560804341
CP19921,resident,normalised_d2h_Breast,-16.7283140923567
CP19922,resident,normalised_d13c_Breast,-24.0930877817319
CP19922,resident,normalised_d15n_Breast,5.26440831471433
CP19922,resident,normalised_d2h_Breast,-20.3315138841851
CP19923,resident,normalised_d13c_Breast,-24.2471613285884
CP19923,resident,normalised_d15n_Breast,7.4476731567188
CP19923,resident,normalised_d2h_Breast,-10.1704348073123
CP19931,NZ migrant,normalised_d13c_Breast,-13.1476905276339
CP19931,NZ migrant,normalised_d15n_Breast,14.4329986737513
CP19931,NZ migrant,normalised_d2h_Breast,7.46516994720916
CP19983,resident,normalised_d13c_Breast,-19.0124766576055
CP19983,resident,normalised_d15n_Breast,12.5227059718829
CP19983,resident,normalised_d2h_Breast,-9.46882246704472
CP9059,resident,normalised_d13c_Breast,-18.0455411184568
CP9059,resident,normalised_d15n_Breast,12.5936658463559
CP9059,resident,normalised_d2h_Breast,4.70342211998976
