source_order,ring,model_id,model_label,prediction_available,class,probability,operational_call,longitude_capture,latitude_capture,informal_rung2_consensus,model_short
4,CP16678,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.27362675104848777,migrant,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R1 C
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 A
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.44541710440422566,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.29327461659688187,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
4,CP16678,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.2613082789988925,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 C
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.40326182672949645,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 S2
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.4051977028948211,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 S2
4,CP16678,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.1915404703756824,indeterminate,169.20916903764,-45.3364670276642,no determinate Rung 2 call,R2 S2
5,CP16681,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.9242377067431216,migrant,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R1 C
5,CP16681,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.07576229325687833,migrant,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R1 C
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 A
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 A
5,CP16681,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 A
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.6205278354339437,AU migrant,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 C
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.2900678382803261,AU migrant,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 C
5,CP16681,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.08940432628573011,AU migrant,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 C
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.4988097847600456,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 S2
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.47296576969863735,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 S2
5,CP16681,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.02822444554131704,indeterminate,175.731553025544,-39.2938620038331,single-model lead: AU migrant,R2 S2
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.9098140026765072,migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R1 C
6,CP16685,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.09018599732349286,migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R1 C
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 A
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 A
6,CP16685,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 A
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.22761773038611305,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 C
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.6789911049226232,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 C
6,CP16685,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.0933911646912638,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 C
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,AU migrant,0.3509412699266048,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 S2
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,NZ migrant,0.613428514862987,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 S2
6,CP16685,r2_s2,Rung 2: R2 S2 staged hierarchical approach,TRUE,resident,0.03563021521040827,NZ migrant,175.731553025544,-39.2938620038331,informal consensus: NZ migrant,R2 S2
7,CP16686,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,migrant,0.7066897664226386,migrant,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R1 C
7,CP16686,r1_c,Rung 1: R1 C paired-contrast C/N,TRUE,resident,0.2933102335773614,migrant,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R1 C
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,AU migrant,0.3035714285714286,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 A
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,NZ migrant,0.30357142857142855,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 A
7,CP16686,r2_a,Rung 2: R2 A breast-only C/N,TRUE,resident,0.3928571428571429,indeterminate,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 A
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,AU migrant,0.546701068400866,AU migrant,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 C
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,NZ migrant,0.164300340479435,AU migrant,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 C
7,CP16686,r2_c,Rung 2: R2 C direct breast C/N/H + paired contrasts,TRUE,resident,0.288998591119699,AU migrant,169.211730966344,-45.3636030200869,single-model lead: AU migrant,R2 C
