geo_region,reference_object,grouping_variable,contributor_source_table,n_specimens_total,n_with_d13c,n_with_d15n,n_with_d18o,n_with_d2h,mean_normalised_d13c,mean_normalised_d15n,mean_normalised_d18o,mean_normalised_d2h,var_normalised_d13c,var_normalised_d15n,var_normalised_d18o,var_normalised_d2h,sd_normalised_d13c,sd_normalised_d15n,sd_normalised_d18o,sd_normalised_d2h,source_specimen_ids,source_metadata_row_ids,source_branches_all,source_measurement_ids_normalised_d13c,source_measurement_ids_normalised_d15n,source_measurement_ids_normalised_d18o,source_measurement_ids_normalised_d2h
Australia,museum_winter_breast_region,geo_region,museum_screening_ready_breast_homogenate_winter.csv,25,15,15,16,16,-21.21505526434615,10.173779578560161,13.342999464971555,-20.77565927385424,4.367633780682139,1.9035181960359429,1.602072983205614,315.0262095649302,2.089888461301736,1.3796804688173065,1.2657302173866334,17.748977704784302,14944|15202|15209|15210|15261|16885|16886|16887|17371|35514|35515|35577|585-122580|586-122581|587-122582|588-122583|589-122584|590-122585|591-122586|592-122587|593-122588|594-122589|595-122590|596-122591|A9452,museum_meta_053|museum_meta_059|museum_meta_046|museum_meta_045|museum_meta_050|museum_meta_048|museum_meta_047|museum_meta_052|museum_meta_060|museum_meta_057|museum_meta_058|museum_meta_056|museum_meta_159|museum_meta_160|museum_meta_161|museum_meta_162|museum_meta_163|museum_meta_164|museum_meta_165|museum_meta_166|museum_meta_167|museum_meta_168|museum_meta_169|museum_meta_170|museum_meta_066,museum_batch_cn|museum_batch_h|museum_batch_o|museum_batch_h|museum_batch_o|museum_batch_cn,museum_measurement_0097|museum_measurement_0101|museum_measurement_0103|museum_measurement_0105|museum_measurement_0107|museum_measurement_0109|museum_measurement_0111|museum_measurement_0113|museum_measurement_0135|museum_measurement_0137|museum_measurement_0139|museum_measurement_0145|museum_measurement_0147|museum_measurement_0149|museum_measurement_0153,museum_measurement_0096|museum_measurement_0100|museum_measurement_0102|museum_measurement_0104|museum_measurement_0106|museum_measurement_0108|museum_measurement_0110|museum_measurement_0112|museum_measurement_0134|museum_measurement_0136|museum_measurement_0138|museum_measurement_0144|museum_measurement_0146|museum_measurement_0148|museum_measurement_0152,museum_measurement_0194|museum_measurement_0183|museum_measurement_0184|museum_measurement_0185|museum_measurement_0186|museum_measurement_0187|museum_measurement_0188|museum_measurement_0190|museum_measurement_0191|museum_measurement_0168|museum_measurement_0169|museum_measurement_0167|museum_measurement_0170|museum_measurement_0171|museum_measurement_0172|museum_measurement_0178,museum_measurement_0201|museum_measurement_0203|museum_measurement_0204|museum_measurement_0205|museum_measurement_0206|museum_measurement_0207|museum_measurement_0208|museum_measurement_0209|museum_measurement_0210|museum_measurement_0216|museum_measurement_0217|museum_measurement_0218|museum_measurement_0219|museum_measurement_0220|museum_measurement_0221|museum_measurement_0223
New Zealand,museum_winter_breast_region,geo_region,museum_screening_ready_breast_homogenate_winter.csv,10,9,9,7,7,-16.563328464717856,11.339931092948483,15.037519457212115,-36.29978124314484,6.236303600065549,3.080124010409484,1.7552447652535106,347.830090360664,2.497259217635516,1.7550282078671795,1.3248565074201473,18.650203493813788,244-111733|390-122989|391-122990|392-122991|AV1747|AV2421|AV3132-OMNZ|AV706|AV708|MNHN-Z0-M0-2003-799,museum_meta_158|museum_meta_171|museum_meta_172|museum_meta_173|museum_meta_024|museum_meta_038|museum_meta_008|museum_meta_018|museum_meta_016|museum_meta_003,museum_batch_cn|museum_batch_h|museum_batch_o|museum_batch_h|museum_batch_o|museum_batch_cn|museum_triplicate_cn|museum_triplicate_cn|museum_triplicate_h|museum_triplicate_o,museum_measurement_0123|museum_measurement_0131|museum_measurement_0133|museum_measurement_0020|museum_measurement_0022|museum_measurement_0024|museum_measurement_0050|museum_measurement_0052|museum_measurement_0054|museum_measurement_0115|museum_measurement_0008|museum_measurement_0010|museum_measurement_0012|museum_measurement_0085|museum_measurement_0087,museum_measurement_0122|museum_measurement_0130|museum_measurement_0132|museum_measurement_0019|museum_measurement_0021|museum_measurement_0023|museum_measurement_0049|museum_measurement_0051|museum_measurement_0053|museum_measurement_0114|museum_measurement_0007|museum_measurement_0009|museum_measurement_0011|museum_measurement_0084|museum_measurement_0086,museum_measurement_0166|museum_measurement_0173|museum_measurement_0075|museum_measurement_0076|museum_measurement_0077|museum_measurement_0179|museum_measurement_0081|museum_measurement_0082|museum_measurement_0083|museum_measurement_0180|museum_measurement_0176,museum_measurement_0212|museum_measurement_0215|museum_measurement_0060|museum_measurement_0061|museum_measurement_0062|museum_measurement_0211|museum_measurement_0066|museum_measurement_0067|museum_measurement_0068|museum_measurement_0195|museum_measurement_0196
